opid,operator,atype,remarks,phase_of_flt,ac_mass,num_engs,date,time_of_day,state,height,speed,effect,sky,species,birds_seen,birds_struck
AAL,AMERICAN AIRLINES,B-727,CRACKED L WINDSHLD,Approach,4,3,2/10/1997 0:00,Day,NC,2500,210,None,Overcast,UNKNOWN BIRD,NA,1
AAL,AMERICAN AIRLINES,MD-82,NO DAMAGE/INJURY.,Climb,4,2,6/20/1997 0:00,Dusk,FL,500,150,None,Some Cloud,UNKNOWN BIRD - MEDIUM,NA,1
AAL,AMERICAN AIRLINES,MD-80,NA,Approach,4,2,9/5/1997 0:00,Day,FL,200,142,None,Some Cloud,UNKNOWN BIRD - SMALL,10-Feb,1
AAL,AMERICAN AIRLINES,A-300,NA,NA,4,2,5/3/1997 0:00,Dusk,NA,NA,145,NA,Overcast,UNKNOWN BIRD - SMALL,10-Feb,10-Feb
AAL,AMERICAN AIRLINES,A-300,NO APPARENT DAMAGE. TIME = 2138 LCL. FLT 116. NO BIRD FOUND.,Approach,4,2,9/14/1997 0:00,Night,NY,NA,NA,NA,NA,UNKNOWN BIRD,NA,1
AAL,AMERICAN AIRLINES,MD-80,BIRD REMAINS ON CENTER WINDSHLD.  APCHING VERAZZANO BRIDGE FROM  SOUTH.,Approach,4,2,8/18/1997 0:00,Night,NY,7000,250,None,No Cloud,UNKNOWN BIRD,NA,1
AAL,AMERICAN AIRLINES,B-727-200,NO DAMAGE/,Climb,4,3,8/18/1997 0:00,Day,LA,2800,230,None,Some Cloud,UNKNOWN BIRD - MEDIUM,NA,1
AAL,AMERICAN AIRLINES,MD-80,FLT 738 REPTD A BIRD STRIKE ON T/D. NO A/C DAMAGE/INJURIES. TIME  = 2117Z.,Landing Roll,4,2,4/1/1997 0:00,Day,TX,0,NA,NA,NA,UNKNOWN BIRD,NA,1
AAL,AMERICAN AIRLINES,MD-82,NO DAMAGE. OCCURRED AT T/D.,Landing Roll,4,2,6/11/1997 0:00,Day,TX,0,130,None,Some Cloud,UNKNOWN BIRD - MEDIUM,NA,1
AAL,AMERICAN AIRLINES,MD-80,TIME = 0720 LCL. FLT 1067.,Climb,4,2,7/9/1997 0:00,Dawn,FL,125,170,None,No Cloud,UNKNOWN BIRD,NA,1
AAL,AMERICAN AIRLINES,FK-100,BIRD HIT NOSE GEAR AREA NO DAMAGE.,Take-off run,4,2,7/21/1997 0:00,Dawn,NC,0,100,None,Overcast,UNKNOWN BIRD - SMALL,10-Feb,1
AAL,AMERICAN AIRLINES,B-757-200,BIRD HIT ABOVE F/O'S WINDSHLD,Landing Roll,4,2,6/28/1997 0:00,Dusk,TX,0,100,None,Some Cloud,UNKNOWN BIRD - MEDIUM,10-Feb,1
AAL,AMERICAN AIRLINES,FK-100,BIRD STRUCK CAPT'S LOWER WINDSHLD.,Landing Roll,4,2,2/20/1997 0:00,Day,TX,0,100,None,Overcast,UNKNOWN BIRD - SMALL,NA,1
AAL,AMERICAN AIRLINES,B-767-200,NO DAMAGE. FLT 74. TIME = 2215 LCL.,Climb,4,2,9/19/1997 0:00,Night,CA,NA,NA,None,No Cloud,UNKNOWN BIRD,NA,1
AAL,AMERICAN AIRLINES,FK-100,MESSY WINDSCREEN. TIME = 1215LCL,Approach,4,2,7/21/1997 0:00,Day,TX,10,140,None,No Cloud,UNKNOWN BIRD - SMALL,NA,1
AAL,AMERICAN AIRLINES,B-727-200,NO DAMAGE/INJURY.,Approach,4,3,2/20/1997 0:00,Day,TX,20,140,NA,Overcast,EUROPEAN STARLING,NA,1
AAL,AMERICAN AIRLINES,B-757-200,"FLT 192 #2 ENG INGESTED BIRDS. INSPCTD ENG HOT SECTION & INLET,  NO DAMAGE. BIRD CLOGGED ENG COOLER WHICH WAS REPLACED. TIME =  06430EDT.",Approach,4,2,6/25/1997 0:00,Day,MA,1,NA,None,No Cloud,GULLS,NA,10-Feb
AAL,AMERICAN AIRLINES,MD-82,SMALL WHITE BIRD HIT RT SIDE JUST BELOW CO/P'S WINDOW.,Landing Roll,4,2,6/29/1997 0:00,Day,CA,0,120,None,No Cloud,UNKNOWN BIRD - SMALL,NA,1
AAL,AMERICAN AIRLINES,B-727,NO DAMAGE TO FLT 1134.,Landing Roll,4,3,5/25/1997 0:00,Day,PR,0,8,None,Overcast,GULLS,10-Feb,1
AAL,AMERICAN AIRLINES,FK-100,"TWR STATED THERE WERE ""PIGEONS"" 1500' DOWN RWY. COMING OVER  THRESHOLD I SAW A FLOCK OF GULLS & WAS ABLE TO EXTEND LANDING  POINT BEYOND THEIR POSITION, BUT WENT THRU A 2ND & 3RD FLOCK  FURTHER DOWN RWY. GRND CREW REPTD 5 DEAD BIRD ON RWY. MAINT COULD  ONLY FIND 2 HITS, 1 ON R LE OF WING & ONE ON RT LANDING LIGHT.  A/C DEPTD ON TIME. FLT 1175.  TIME = 1550Z.",Landing Roll,4,2,4/18/1997 0:00,Day,TX,0,140,None,Some Cloud,GULLS,NA,10-Feb
AAL,AMERICAN AIRLINES,MD-83,NA,Climb,4,2,8/30/1997 0:00,Day,CT,30,150,None,Some Cloud,UNKNOWN BIRD - MEDIUM,NA,1
AAL,AMERICAN AIRLINES,MD-82,SPARROW TYPE. NO DAMAGE.,Take-off run,4,2,7/23/1997 0:00,Day,NM,0,100,None,No Cloud,UNKNOWN BIRD - SMALL,NA,1
AAL,AMERICAN AIRLINES,MD-82,BIRD DISINTEGRATED ON IMPACT. NO DAMAGE NOTED.,Take-off run,4,2,7/17/1997 0:00,Day,CO,0,130,None,Some Cloud,UNKNOWN BIRD - SMALL,NA,1
AAL,AMERICAN AIRLINES,DC-9-83,ATIS WARNING.,Take-off run,4,2,9/19/1997 0:00,Night,CA,0,125,None,No Cloud,GULLS,NA,1
AAL,AMERICAN AIRLINES,MD-82,"NEVER HEARD THE STRIKE, BUT SUSPECTED ONE. INSPN AT LDG SHOWED NO  SIGNS OF DAMAGE OR BIRD MATERIAL.",Take-off run,4,2,5/29/1997 0:00,Dusk,TX,0,165,None,Overcast,UNKNOWN BIRD - MEDIUM,NA,1
AAL,AMERICAN AIRLINES,B-727-200,NA,Take-off run,4,3,11/4/1997 0:00,Day,NA,0,NA,None,Some Cloud,UNKNOWN BIRD - SMALL,10-Feb,1
AAL,AMERICAN AIRLINES,DC-9-80,BIRD HIT F/O'S  SIDE NEAR HIS FEET. NO DAMAGE. INSPCTD BY MAINT.,Landing Roll,4,2,7/19/1997 0:00,Day,FL,0,120,None,No Cloud,UNKNOWN BIRD - SMALL,10-Feb,1
AAL,AMERICAN AIRLINES,DC-10-10,CONTD T/O. DAMAGE UNKN.,Take-off run,4,3,8/11/1997 0:00,Day,CA,0,100,None,No Cloud,UNKNOWN BIRD - LARGE,NA,1
AAL,AMERICAN AIRLINES,B-727-200,NO DAMAGE/INJURIES.,Climb,4,3,10/27/1997 0:00,Dusk,IL,7500,240,None,No Cloud,UNKNOWN BIRD - SMALL,NA,1
AAL,AMERICAN AIRLINES,B-727,BIRD STRUCK CENTER WINDSCREEN. NO DAMAGE.,Climb,4,3,2/6/1997 0:00,Day,NA,5000,150,None,No Cloud,UNKNOWN BIRD - SMALL,NA,1
AAL,AMERICAN AIRLINES,MD-82,SAW 2 HIT 1. FLT 1876. TIME = 0724LCL.,Climb,4,2,5/11/1997 0:00,Day,AZ,10,150,None,Overcast,MOURNING DOVE,10-Feb,1
AAL,AMERICAN AIRLINES,FK-100,NO DAMAGE NOTED.,Approach,4,2,2/23/1997 0:00,Day,TX,200,130,None,Some Cloud,UNKNOWN BIRD - SMALL,10-Feb,1
AAL,AMERICAN AIRLINES,B-757-200,SMALL COVEY OF SMALL BIRDS FLEW IN FRONT OF A/C ON T/O.  TIME =  1245 LCL,Take-off run,4,2,4/21/1997 0:00,Day,TX,0,100,None,Some Cloud,UNKNOWN BIRD - SMALL,10-Feb,10-Feb
AAL,AMERICAN AIRLINES,MD-80,ATIS WARNING.,Approach,4,2,3/28/1997 0:00,Night,NJ,100,180,None,NA,GULLS,NA,1
AAL,AMERICAN AIRLINES,MD-80,INSPN BY MAINT AT LIT FOUND NO DAMAGE. AA 518.,Approach,4,2,5/16/1997 0:00,Day,AR,500,130,None,No Cloud,UNKNOWN BIRD - SMALL,10-Feb,1
AAL,AMERICAN AIRLINES,B-727,"NO DAMAGE NOTED BY PILOTS, THERE DID NOT APPEAR TO BE ENOUGH BIRD  ACTIVITY TO WARRANT A WARNING BY TWR. TIME = 0830 LCL.",Approach,4,3,11/10/1997 0:00,Day,TX,100,140,None,Overcast,UNKNOWN BIRD - MEDIUM,NA,1
AAL,AMERICAN AIRLINES,MD-82,NA,Climb,4,2,5/16/1997 0:00,Night,TX,1000,230,None,No Cloud,UNKNOWN BIRD - MEDIUM,NA,1
AAL,AMERICAN AIRLINES,B-767-300,NO DAMAGE. BIRD RECOVERED FROM RWY. TIME = 1419LCL,Landing Roll,4,2,7/5/1997 0:00,Day,NY,0,140,None,Some Cloud,LAUGHING GULL,10-Feb,1
AAL,AMERICAN AIRLINES,MD-80,NO DAMAGE REPTD. FLT 1425.,Landing Roll,4,2,7/6/1998 0:00,Night,CA,0,NA,NA,NA,DUCKS,NA,1
AAL,AMERICAN AIRLINES,FK-100,NO DAMAGE.,Approach,4,2,8/12/1997 0:00,Day,TN,2000,180,None,No Cloud,UNKNOWN BIRD - MEDIUM,NA,1
