Profit,CEO Education Level
1339,3
709,5
4800,3
798,4
4599,4
2606,3
4514,3
2052,4
7519,4
1993,3
700,3
385,4
7248,4
676,4
216,4
101,5
9467,3
5632,4
3545,4
1477,3
369,4
10027,3
2880,5
374,1
2253,4
2290,4
5483,4
2889,4
191,4
1634,4
2560,4
271,5
5143,4
1281,4
2604,5
1454,5
520,4
10546,4
457,3
1276,4
338,4
807,4
1771,3
4322,3
604,1
91,3
4932,3
5369,4
1400,3
8285,5
7845,4
577,5
2569,3
311,3
591,3
5219,4
2565,4
8711,4
950,3
1655,3
28,2
1041,4
2317,4
1613,3
4659,4
3173,4
1894,4
567,4
363,1
1254,5
3637,5
3005,3
1633,3
8461,5
-1692,2
3468,4
486,2
10153,5
636,2
2521,4
4126,5
1381,5
624,2
413,5
3479,4
29,1
699,3
-277,2
311,4
-1349,3
100,4
2239,3
353,2
1084,5
5004,1
2944,4
2969,4
3907,3
