Period,Height,Pulse,Gender,Haircut_cost,Meal_cost,Pocket-money,Random_num,Irby_Age,Pct_Wy_Cap,School-Trvl
Period 5,70,78,m,30,0,0,15,60,0.66,bus
Period 6,68,67,m,25,12,1.25,17,68,0.23,bus
Period 6,66,80,m,20,0,0.25,4,65,0.1,bus
Period 6,63,72,f,0,0,0.2,4,63,0.71,bus
Period 6,57,72,f,0,11.68,0.5,1,69,0.15,bus
Period 2,63,10,f,0,0,0,19,47,0.2,bus
Period 2,64,66,f,40,16.98,0.05,17,50,0.2,bus
Period 2,64,44,f,25,11.33,0,4,70,0.25,bus
Period 2,63,76,f,0,0,0,19,47,0.2,bus
Period 2,66,56,m,20,5,0.81,11,67,0.02,bus
Period 6,57,78,f,0,20,0.2,7,60,0.21,bus
Period 2,52,78,f,0,0,0,19,47,0.2,bus
Period 5,60,72,f,25,0,0,13,47,0.4,car
Period 5,61,57,f,0,30,0,7,67,0.03,car
Period 5,72,85,m,40,16,0,20,67,0.83,car
Period 5,69,73,m,50,9,0,19,63,0.25,car
Period 5,62,65,f,30,70,0,15,60,0.1,car
Period 5,57,75,f,20,25,0.3,7,64,0.3,car
Period 5,64,75,f,3,10,0,8,78,0.33,car
Period 5,66,70,m,30,10,0,4,55,0.09,car
Period 5,59,70,f,15,35,0,6,61,0,car
Period 5,73,75,m,60,80,0,7,67,0,car
Period 5,66,80,m,25,17,0.2,19,65,0.5,car
Period 5,66,75,m,45,15,0,18,46,0.05,car
Period 5,68,64,f,11,15,0,18,66,0.35,car
Period 5,63,86,f,20,12.5,0,7,63,0.02,car
Period 5,69,79,m,45,27,0.05,18,57,0.02,car
Period 5,61,72,f,30,135,0,17,70,0.12,car
Period 5,65,65,f,0,9,0,17,64,0.2,car
Period 5,64,65,f,35,13,0.01,15,70,0.05,car
Period 5,60,75,f,9,15,0.25,5,50,0,car
Period 6,67,81,m,40,12,0,18,55,0.01,car
Period 6,71,85,m,30,15,0,13,57,0.01,car
Period 6,68,70,m,0,10,0,2,64,0.02,car
Period 6,69,78,f,15,28,0.9,18,68,0.2,car
Period 6,61,76,f,50,30,0,13,58,0.1,car
Period 6,69,60,m,25,13,0,8,65,0.4,car
Period 6,62,72,f,0,30,0,17,65,0.56,car
Period 6,62,90,f,0,30,0,5,71,0.45,car
Period 6,66,32,m,30,45,0,4,58,0.64,car
Period 6,69,60,m,20,15,0.7,7,60,0.4,car
Period 6,63,60,f,0,0,0,6,69,0.18,car
Period 6,71,81,m,25,20,0.2,3,65,0.7,car
Period 6,73,78,m,25,21,0,3,70,0.25,car
Period 8,66,108,m,35,198,0.62,18,61,0.15,car
Period 8,73,50,m,20,15,0,13,30,0,car
Period 8,68.4,78,m,40,20,0.45,5,72,0.2,car
Period 8,70,80,m,30,11,0.2,11,60,0.03,car
Period 8,70,74,m,30,14,0,3,67,0.01,car
Period 8,72,67,m,15,14.99,0,11,71,0.08,car
Period 8,69,72,m,30,5.41,0,4,68,0.05,car
Period 8,63,89,m,30,10.89,0,4,67,0.02,car
Period 8,64.8,60,m,40,20,0.45,5,72,0.2,car
Period 8,70,66,m,30,14,0,3,67,1,car
Period 8,70,78,m,45,15,2,67,60,1,car
Period 8,64,78,f,50,15,0.63,6,73,0.35,car
Period 8,66,78,m,35,198.32,0.62,18,66,0.15,car
Period 8,66,60,m,30,20,0,14,68,0.05,car
Period 8,63,78,f,25,14,0.84,3,78,0.24,car
Period 8,76,60,m,41,11.5,0,6,67,0.1,car
Period 8,63,66,f,30,6,0,10,65,0.2,car
Period 8,71,66,m,80,13,0,16,67,0.02,car
Period 8,62,72,f,0,12,0.31,7,65,0.2,car
Period 8,67,72,m,20,12,0.9,14,65,0.07,car
Period 8,70,54,m,35,15,0,8,67,0.03,car
Period 8,67,72,m,40,13.55,0,18,72,0.08,car
Period 8,61,66,f,0,20,0,13,63,0.2,car
Period 8,77,48,m,35,15,0,13,67,0.05,car
Period 6,68,42,m,70,15,0,4,67,0.67,car
Period 8,66,66,f,0,150,0,15,76,0.1,car
Period 8,63,72,f,50,603,0.89,17,67,0.58,car
Period 1,70,60,m,50,18,0,7,67,0.32,car
Period 1,64,72,f,0,178,1,17,61,0.48,car
Period 1,68,80,m,10,15,0,17,60,0.15,car
Period 1,65,60,f,0,12,0,17,50,0.68,car
Period 2,70,80,m,40,20,0.15,9,67,0.05,car
Period 2,73,81,m,35,10.6,0,2,70,0.25,car
Period 2,73,65,m,20,0,0,11,58,0.13,car
Period 2,64,70,f,40,16.98,0.05,17,50,0.2,car
Period 6,68,89,m,35,13,0,18,67,0.02,car
Period 2,65,70,f,40,20,2.34,7,67,0,car
Period 2,67.2,70,m,25,15,0,7,62,0.25,car
Period 6,71,87,m,10,24,0.4,20,74,0.05,car
Period 2,67.2,70,m,20,15,0,7,67,0.25,car
Period 2,54,72,m,25,15,0,9,68,0.16,car
Period 2,67,48,m,30,12,0,16,56,0.02,car
Period 1,66,65,m,20,5,0.81,11,67,0.02,car
Period 6,67,78,m,25,7.67,1,16,63,0.13,car
Period 2,67,130,m,20,17,2,7,31,0.37,car
Period 2,69,54,m,20,7.89,0,13,57,0.07,car
Period 2,55,60,f,65,135,2.5,10,60,0.1,car
Period 3,58,77,f,0,20,0,16,55,0.2,car
Period 2,60,88,f,0,15,2,18,56,0.36,car
Period 2,69,80,m,40,15,0,11,27,0.2,car
Period 3,58,55,f,0,1790,0,18,56,0.15,car
Period 3,74,75,m,20,17.9,0,4,50,0,car
Period 3,66,73,m,30,14,0,13,57,0.3,car
Period 3,63,85,f,65,15,0,8,53,0.37,car
Period 3,71,78,m,30,15,0,17,60,0.02,car
Period 3,66,72,m,25,25,0.23,15,62,0,car
Period 3,68,65,m,25,16.93,0,4,67,0.02,car
Period 3,62,92,m,100,20,0,13,65,0.04,car
Period 3,56,65,f,85,38.2,0.5,16,76,0.37,car
Period 6,67,80,m,45,22,0,17,30,0.03,car
Period 3,68,80,m,50,40,0,13,70,0.3,car
Period 3,66,63,f,66,20,0.26,7,67,0.3,car
Period 3,60,60,m,25,50,0,10,70,0.5,car
Period 3,68,67,m,25,16.93,0,4,63,0.02,car
Period 3,60,84,f,17,40.92,2,17,78,0.01,car
Period 3,57,85,f,30,15,0,14,65,0.5,car
Period 3,67,100,m,20,15,0.1,9,78,0.2,car
Period 3,66,63,f,66,20,0.25,7,67,0.2,car
Period 3,72,80,m,20,15,0.05,3,57,0.04,car
Period 3,66,67,m,40,15,10,2,67,0.05,car
Period 3,69,60,m,25,30,0,7,58,0.05,car
Period 3,68,110,f,80,15.99,1.75,10,56,0.25,car
Period 3,65,70,m,35,15,0,1,70,0,car
Period 3,67,70,m,45,34,0,15,45,0.01,car
Period 2,69,67,f,0,60,0,7,63,0.37,car
Period 1,61,67,f,15,13,0,13,57,0.6,car
Period 1,63,66,f,30,13.78,4,17,54,0.03,car
Period 8,62,66,f,0,58,0.77,7,57,0.05,car
Period 5,62,65,f,16,14.23,0.11,13,65,0.02,car
Period 5,71,75,m,20,50,0.13,5,60,0.1,car
Period 2,63,63,f,0,30,0,15,20,0.2,car
Period 6,73,40,m,50,15,0,13,62,0.04,car
Period 6,64,81,f,0,10,0,12,58,0.25,car
Period 5,71,81,m,20,12,0,14,60,0.05,car
Period 6,72,70,m,50,22,0.55,16,72,0.06,car
Period 5,70,71,m,20,11,0,14,67,0.15,walk
Period 5,69,67,m,40,40,0,13,57,0.2,walk
Period 6,75,61,m,15,165,0,2,68,0.56,walk
Period 6,63,48,f,0,60,0,20,53,0.2,walk
Period 6,71,72,m,30,12,0,14,55,0.05,walk
Period 6,60,120,f,10,23,0.3,17,65,0.54,walk
Period 6,67,42,f,10,35,0.2,11,50,0.32,walk
Period 6,69,80,m,0,20,0.2,18,69,0,walk
Period 6,68,90,f,0,20,0.5,10,70,0.29,walk
Period 8,72,60,m,5,10,0.11,7,67,0.35,walk
Period 1,71,72,m,40,25.5,0,15,64,0.05,walk
Period 3,64,60,m,35,20,0.8,8,45,0.4,walk
Period 3,54,60,f,30,20,0,5,45,0.5,walk
Period 3,71,87,m,20,23,0,17,62,0.01,walk
Period 3,72,87,m,35,11,0,5,54,0.02,walk
Period 3,69,63,m,50,20,0,8,67,0.05,walk
Period 3,66,73,f,0,16,2.35,8,63,0.13,walk
