Strike_ID,Airline,Number_of_Birds,Phase_of_Flight,Altitude_ft_AGL,Speed_knots,Number_of_Engines_on_Aircraft,Number_of_Engines_Struck,Result_of_Strike,Time_of_Day
1,Delta Air Lines,5,Climb,602,221,2,1,No Damage,Daytime
2,Delta Air Lines,1,Takeoff,379,139,2,1,No Damage,Morning
3,Hawaiian Airlines,8,Approach,1126,155,2,1,Damage,Daytime
4,Spirit Airlines,2,Takeoff,125,171,2,0,Damage,Night
5,Alaska Airlines,3,Landing,14,113,2,2,Damage,Evening
6,Hawaiian Airlines,2,Approach,571,134,2,0,Damage,Night
7,Southwest Airlines,8,Taxi,0,22,2,0,No Damage,Night
8,Alaska Airlines,5,Descent,9067,232,2,1,Damage,Evening
9,United Airlines,1,Climb,2228,226,2,2,No Damage,Daytime
10,Southwest Airlines,1,Landing,2,147,2,0,No Damage,Evening
11,JetBlue Airways,5,Landing,1,113,2,0,No Damage,Evening
12,Frontier Airlines,3,Takeoff,47,162,2,1,No Damage,Evening
13,Allegiant Air,3,Climb,2569,207,2,0,Damage,Night
14,Delta Air Lines,3,Takeoff,308,132,2,0,No Damage,Evening
15,Frontier Airlines,1,Taxi,0,7,2,1,No Damage,Night
16,Hawaiian Airlines,1,Landing,1,137,2,0,Damage,Daytime
17,JetBlue Airways,1,Landing,35,136,4,1,No Damage,Daytime
18,Hawaiian Airlines,3,Takeoff,101,134,2,1,No Damage,Evening
19,American Airlines,2,Approach,2932,145,2,2,No Damage,Morning
20,Southwest Airlines,1,Landing,41,115,2,0,Damage,Night
21,Hawaiian Airlines,3,Takeoff,359,165,2,0,No Damage,Daytime
22,Spirit Airlines,5,Landing,34,137,4,1,Damage,Evening
23,Alaska Airlines,1,Approach,1718,133,2,0,No Damage,Morning
24,Southwest Airlines,1,Takeoff,112,166,2,0,Damage,Evening
25,Alaska Airlines,1,Climb,1639,195,2,0,No Damage,Evening
26,Allegiant Air,2,Climb,3553,208,2,0,No Damage,Daytime
27,Alaska Airlines,4,Approach,653,170,2,2,Damage,Evening
28,Spirit Airlines,1,Landing,44,150,2,0,Damage,Morning
29,United Airlines,2,Climb,1638,254,2,1,No Damage,Night
30,American Airlines,1,Approach,636,133,2,1,Damage,Morning
31,Spirit Airlines,1,Climb,1878,253,2,0,No Damage,Daytime
32,JetBlue Airways,5,Landing,6,147,3,1,No Damage,Daytime
33,Frontier Airlines,3,Climb,896,230,2,0,No Damage,Night
34,American Airlines,3,Approach,1470,133,2,0,No Damage,Night
35,United Airlines,2,Takeoff,433,144,2,2,No Damage,Night
36,Allegiant Air,3,Approach,1408,132,2,0,No Damage,Daytime
37,Southwest Airlines,1,Cruise,9611,297,2,1,No Damage,Daytime
38,Delta Air Lines,1,Approach,177,148,2,0,No Damage,Evening
39,United Airlines,2,Landing,46,136,3,0,No Damage,Night
40,JetBlue Airways,1,Taxi,0,9,2,1,No Damage,Evening
41,Delta Air Lines,1,Takeoff,235,164,3,1,Damage,Morning
42,Allegiant Air,8,Descent,2550,235,2,0,Damage,Evening
43,American Airlines,1,Descent,2200,293,2,1,No Damage,Daytime
44,JetBlue Airways,3,Approach,2574,149,2,0,No Damage,Evening
45,United Airlines,1,Landing,39,145,2,0,No Damage,Evening
46,American Airlines,1,Climb,6462,267,2,1,No Damage,Daytime
47,Spirit Airlines,1,Landing,36,121,4,0,No Damage,Night
48,United Airlines,2,Takeoff,98,136,2,2,No Damage,Evening
49,Southwest Airlines,8,Landing,45,147,2,1,Damage,Morning
50,Frontier Airlines,1,Landing,4,146,2,1,No Damage,Night
51,JetBlue Airways,4,Taxi,0,25,2,0,No Damage,Daytime
52,Hawaiian Airlines,1,Takeoff,23,142,2,1,No Damage,Night
53,American Airlines,2,Descent,4166,267,2,1,No Damage,Evening
54,Spirit Airlines,2,Climb,826,192,2,0,No Damage,Morning
55,Southwest Airlines,2,Takeoff,437,165,2,0,No Damage,Evening
56,JetBlue Airways,5,Approach,953,175,2,0,Damage,Daytime
57,Spirit Airlines,1,Landing,6,114,2,0,Damage,Evening
58,JetBlue Airways,2,Landing,24,146,2,0,No Damage,Evening
59,Hawaiian Airlines,1,Landing,17,113,2,0,No Damage,Evening
60,Allegiant Air,4,Landing,29,149,2,0,Damage,Evening
61,American Airlines,6,Taxi,0,11,2,0,No Damage,Evening
62,Allegiant Air,1,Approach,2603,161,2,1,Damage,Daytime
63,Delta Air Lines,5,Climb,4832,267,2,0,No Damage,Night
64,Delta Air Lines,18,Landing,23,144,2,1,No Damage,Evening
65,Frontier Airlines,7,Approach,1455,157,2,0,No Damage,Daytime
66,Frontier Airlines,1,Landing,13,159,2,1,No Damage,Night
67,Southwest Airlines,1,Takeoff,343,150,2,0,No Damage,Daytime
68,United Airlines,1,Descent,3799,279,2,0,No Damage,Morning
69,Frontier Airlines,10,Climb,2995,254,2,1,No Damage,Daytime
70,Allegiant Air,6,Takeoff,325,159,2,1,No Damage,Daytime
71,Spirit Airlines,10,Approach,700,153,2,0,Damage,Evening
72,Frontier Airlines,2,Cruise,5005,318,2,0,No Damage,Evening
73,United Airlines,3,Approach,669,145,4,1,Damage,Night
74,Spirit Airlines,2,Approach,1893,180,2,0,No Damage,Morning
75,Spirit Airlines,7,Landing,24,121,2,0,No Damage,Daytime
76,American Airlines,6,Descent,3621,251,4,1,No Damage,Evening
77,Southwest Airlines,1,Takeoff,352,135,2,1,No Damage,Morning
78,Southwest Airlines,3,Climb,3304,253,2,2,No Damage,Daytime
79,United Airlines,2,Takeoff,166,149,4,1,No Damage,Morning
80,Spirit Airlines,7,Climb,3958,247,3,0,No Damage,Evening
81,JetBlue Airways,17,Approach,938,161,2,1,Damage,Morning
82,Spirit Airlines,1,Takeoff,420,151,2,0,No Damage,Evening
83,Spirit Airlines,5,Approach,131,176,4,0,No Damage,Night
84,JetBlue Airways,2,Landing,20,138,2,1,No Damage,Evening
85,Alaska Airlines,9,Landing,25,128,2,0,No Damage,Morning
86,Allegiant Air,2,Cruise,4728,289,2,0,No Damage,Daytime
87,JetBlue Airways,1,Landing,36,117,2,0,No Damage,Evening
88,Delta Air Lines,1,Descent,7177,285,2,0,No Damage,Evening
