ClassGrade,Gender,Ageyears,Handed,Travel_to_School,Favourite_physical_activity,Longer_foot,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Home_Internet_Access,Communication_With_Friends,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
12,Female,17,Right-Handed,Car,Other,Same length,Same length,February,Winter,Yes,No,Meat,Water,Other,Yes - other,"Myspace, Facebook, other social networking sites, or blog",Very little,Other,Classical,Telepathy,Rich,Relative,International aid
10,Female,14,Right-Handed,Car,Soccer,Same length,Index finger,June,Fall,No,No,No favorite,Juice,Science,Yes - other,Text messaging,Some,Graduate degree,Rhythm and blues (R&B),Telepathy,Healthy,Friend,Health
12,Female,17,Right-Handed,Car,Athletics,Same length,Same length,February,Fall,No,No,Pizza/Pasta,Water,English,Yes - other,"Myspace, Facebook, other social networking sites, or blog",Some,Graduate degree,Other,Invisibility,Happy,Relative,International aid
12,Male,18,Right-Handed,Car,Soccer,Right foot,Index finger,March,Summer,No,No,No favorite,Water,Art,,,,,,,,,
12,Male,17,Right-Handed,Car,Football (American),Same length,Index finger,August,Winter,Yes,No,Meat,Water,Physical education,Yes - broadband connection,Internet chat or instant messaging,Some,High school,Rap/Hip hop,Super strength,Rich,Relative,Other
12,Female,17,Left-Handed,Car,None,Same length,Ring finger,December,Winter,No,No,No favorite,Water,Mathematics and statistics,Yes - broadband connection,Text messaging,Some,Graduate degree,Rap/Hip hop,Telepathy,Rich,Relative,"Wildlife, animals"
12,Female,18,Right-Handed,Car,Golf,Same length,Ring finger,September,Summer,Yes,No,Rice/Noodle dishes,Soft drink (caffeinated),Physical education,Yes - other,"Myspace, Facebook, other social networking sites, or blog",Very little,Graduate degree,Pop,Telepathy,Rich,Doctor or nurse,Health
12,Male,17,Ambidextrous,Car,Other,Right foot,Ring finger,May,Winter,No,No,Seafood,Powdered drink,Mathematics and statistics,Yes - other,Cell phone,Some,Some college,Rap/Hip hop,Super strength,Rich,Other,Health
12,Male,16,Right-Handed,Car,Soccer,Same length,Ring finger,June,Spring,No,No,Poultry,Soft drink (caffeinated),Physical education,Yes - broadband connection,Cell phone,A lot,High school,Pop,Freeze time,Happy,Sports person,Health
12,Male,17,,,,,,,,,,,,,,,,,,,,,
12,Male,17,Right-Handed,Car,None,Same length,Same length,January,Winter,No,No,Pizza/Pasta,Water,Mathematics and statistics,Yes - other,In person,A lot,Graduate degree,Rap/Hip hop,Telepathy,Healthy,Doctor or nurse,Religious
12,Male,16,Right-Handed,Car,Soccer,Same length,Ring finger,June,Summer,No,No,,Water,Mathematics and statistics,Yes - other,Text messaging,Very little,Graduate degree,Country,Super strength,Rich,Other,"Arts, culture, sports"
12,Male,17,Ambidextrous,Car,Baseball/Softball,,Same length,November,Winter,No,No,Pizza/Pasta,Milk,Music,Yes - other,Text messaging,A lot,High school,Rap/Hip hop,Telepathy,Rich,Community leader or elder,Health
12,Female,17,Right-Handed,Bus,Tennis,Same length,Index finger,October,Fall,No,No,Other,Milk,Mathematics and statistics,Yes - other,"Myspace, Facebook, other social networking sites, or blog",Some,Some college,Classical,Telepathy,Happy,Friend,Environment
12,Male,18,Right-Handed,Car,Soccer,,,,,,,,,,,,,,,,,,
12,Female,17,Ambidextrous,Car,Dancing,Same length,Same length,September,Winter,Yes,No,Pizza/Pasta,Tea,Other,Yes - other,Text messaging,Very little,Graduate degree,Pop,Freeze time,Happy,Relative,Health
