Gender,Handed,Height,Travel_to_School,Travel_time_to_School,Favorite_Season,Allergies,Beverage,Social_Websites_Hours
Male,Left-Handed,187.9,Walk,20,Fall,Yes,Sports drink,6
Female,Right-Handed,152.4,Car,10,Summer,No,Water,3
Male,Right-Handed,166.3,Car,15,Winter,No,Water,16
Female,Right-Handed,162.6,Car,15,Fall,Yes,Soft drink ,2
Male,Right-Handed,165,Car,15,Summer,No,Water,8
Female,Right-Handed,158,Bus,47,Fall,Yes,Tea,4
Male,Right-Handed,176.5,Car,22,Summer,No,Water,2.5
Female,Right-Handed,64,Bus,15,Winter,No,Soft drink,4
Male,Right-Handed,178,Car,15,Fall,No,Soft drink ,8
Female,Left-Handed,149.86,Car,13,Winter,Yes,Tea,9
Female,Right-Handed,161.9,Car,10,Summer,No,Water,13
Female,Right-Handed,167.6,Car,10,Fall,No,Water,0
Female,Right-Handed,167,Car,8,Fall,Yes,Water,5
Female,Right-Handed,152.4,Car,10,Summer,No,Water,35
Male,Left-Handed,188,Car,20,Fall,No,Sports drink,20
Male,Right-Handed,187.9,Car,4,Winter,No,Water,26
Female,Left-Handed,162.5,Walk,15,Spring,Yes,Tea,10
Male,Left-Handed,173,Car,20,Fall,No,Water,0
Male,Right-Handed,175,Car,15,Fall,Yes,Water,5
Male,Right-Handed,177.8,Bus,12,Fall,No,Soft drink,0
Female,Right-Handed,64.5,Bus,20,Fall,No,Water,90
Male,Right-Handed,180,Car,7,Summer,No,Water,8
Male,Right-Handed,185.9,Car,20,Summer,No,Water,4
Female,Right-Handed,157.4,Car,10,Winter,No,Soft drink,4
Female,Right-Handed,170,Car,20,Winter,No,Water,20
Male,Ambidextrous,177.8,Car,14,Fall,No,Soft drink,0
Male,Right-Handed,182.8,Bus,12,Winter,Yes,Energy drink,9
Female,Right-Handed,178,Car,10,Spring,No,Tea,2
Male,Right-Handed,183,Car,6,Summer,Yes,Water,2
Male,Right-Handed,162.5,Car,16,Summer,Yes,Tea,5
Male,Ambidextrous,189.7,Car,5,Fall,No,Water,30
Male,Right-Handed,178,Car,25,Fall,No,Water,0
Male,Right-Handed,185,Car,10,Winter,No,Soft drink,12
Male,Left-Handed,173,Car,7,Fall,Yes,Sports drink,10
Male,Right-Handed,171,Bus,20,Fall,Yes,Water,1
Male,Right-Handed,182.8,Car,15,Spring,No,Powdered drink,10
Male,Right-Handed,180,Car,15,Fall,No,Water,20
Male,Right-Handed,153.7,Car,15,Winter,No,Water,2
Female,Right-Handed,150.34,Walk,2.5,Fall,No,Powdered drink,5
Male,Right-Handed,191,Bus,54,Winter,No,Soft drink,3
Male,Right-Handed,165,Bus,35,Fall,No,Water,1
Female,Left-Handed,158.5,Car,25,Fall,Yes,Water,15
Female,Right-Handed,165.1,Car,36,Fall,No,Milk,60
