ID,FavoriteMusic,RentOrOwn,HomeType,Gender,Tattoos
1,Hip-Hop,Rent,House,Male,Yes
2,R&B,Rent,House,Male,Yes
3,Pop,Rent,House,Female,Yes
4,Country,Rent,House,Male,Yes
5,Country,Rent,House,Male,Yes
6,Pop,Rent,House,Female,Yes
7,R&B,Rent,House,Male,Yes
8,R&B,Rent,House,Male,Yes
9,R&B,Rent,Apartment/Condo,Female,No
10,Hip-Hop,Own,House,Female,No
11,Country,Rent,Apartment/Condo,Male,No
12,R&B,Own,House,Female,No
13,R&B,Rent,Apartment/Condo,Female,Yes
14,Hip-Hop,Rent,House,Female,Yes
15,Other,Rent,House,Female,No
16,R&B,Own,House,Male,Yes
17,Hip-Hop,Own,Apartment/Condo,Male,No
18,Other,Own,House,Female,No
19,Pop,Own,House,Male,Yes
20,Rock,Rent,Apartment/Condo,Female,Yes
21,Other,Rent,House,Female,No
22,Pop,Rent,House,Female,No
23,Country,Own,House,Female,No
24,Other,Own,Apartment/Condo,Male,Yes
25,Country,Rent,Apartment/Condo,Male,Yes
26,Rock,Rent,House,Female,Yes
27,Country,Own,House,Female,Yes
28,Other,Rent,House,Female,No
29,Rock,Own,Apartment/Condo,Female,No
30,Pop,Rent,Apartment/Condo,Male,No
31,Country,Rent,House,Male,Yes
32,Pop,Rent,Apartment/Condo,Female,Yes
33,Pop,Rent,House,Male,No
34,Hip-Hop,Own,House,Male,Yes
35,Rock,Own,House,Female,No
36,Pop,Rent,Apartment/Condo,Female,No
37,Rock,Rent,Apartment/Condo,Male,No
38,Country,Rent,House,Male,No
39,R&B,Own,Apartment/Condo,Female,Yes
40,R&B,Own,Apartment/Condo,Male,Yes
41,Rock,Rent,Apartment/Condo,Female,No
42,Other,Rent,Apartment/Condo,Female,No
43,Hip-Hop,Rent,House,Female,No
44,Hip-Hop,Rent,Apartment/Condo,Male,Yes
45,Rock,Rent,House,Male,No
46,R&B,Rent,House,Female,Yes
47,Other,Rent,House,Male,No
48,Country,Own,House,Male,No
49,Rock,Own,Apartment/Condo,Male,Yes
50,Country,Rent,Apartment/Condo,Female,Yes
51,R&B,Own,House,Male,Yes
52,Pop,Rent,Apartment/Condo,Male,No
53,Country,Rent,Apartment/Condo,Female,Yes
54,Hip-Hop,Rent,House,Female,No
55,Country,Rent,House,Female,No
56,R&B,Rent,Apartment/Condo,Male,No
57,Country,Rent,Apartment/Condo,Male,Yes
58,Rock,Rent,Apartment/Condo,Female,No
59,Pop,Rent,Apartment/Condo,Male,No
60,Pop,Rent,House,Male,Yes
61,Rock,Own,Apartment/Condo,Female,No
62,R&B,Own,Apartment/Condo,Female,Yes
63,Rock,Rent,House,Male,No
64,Rock,Own,Apartment/Condo,Male,No
65,Pop,Rent,House,Male,Yes
66,Other,Own,Apartment/Condo,Female,Yes
67,Rock,Rent,Apartment/Condo,Female,No
68,Country,Rent,Apartment/Condo,Female,No
69,Hip-Hop,Own,Apartment/Condo,Female,No
70,Pop,Own,Apartment/Condo,Female,No
71,Rock,Rent,House,Female,No
72,R&B,Rent,Apartment/Condo,Male,Yes
73,Pop,Own,House,Male,Yes
74,Hip-Hop,Rent,House,Female,No
75,Country,Own,House,Male,No
76,Pop,Rent,House,Male,No
77,Pop,Rent,House,Male,Yes
78,Pop,Own,Apartment/Condo,Female,Yes
79,Hip-Hop,Own,House,Male,Yes
80,R&B,Rent,Apartment/Condo,Male,No
81,Pop,Rent,Apartment/Condo,Female,No
82,R&B,Rent,House,Female,Yes
83,Hip-Hop,Own,Apartment/Condo,Female,Yes
84,Pop,Rent,Apartment/Condo,Female,Yes
85,Rock,Rent,House,Female,No
86,R&B,Own,Apartment/Condo,Male,No
87,Country,Rent,House,Female,Yes
88,Country,Rent,Apartment/Condo,Female,No
89,Country,Rent,Apartment/Condo,Female,No
90,R&B,Rent,House,Male,No
91,Country,Rent,House,Female,Yes
92,Hip-Hop,Own,House,Female,Yes
93,Pop,Own,Apartment/Condo,Female,Yes
94,Pop,Own,House,Male,No
95,Hip-Hop,Rent,Apartment/Condo,Male,Yes
96,Hip-Hop,Rent,Apartment/Condo,Female,Yes
97,Rock,Rent,House,Female,Yes
98,Pop,Rent,House,Female,No
99,Country,Own,Apartment/Condo,Male,No
100,Other,Rent,Apartment/Condo,Male,Yes
101,Pop,Rent,Apartment/Condo,Female,Yes
102,Rock,Own,Apartment/Condo,Male,Yes
103,Rock,Own,Apartment/Condo,Female,Yes
104,Other,Rent,Apartment/Condo,Female,No
105,Pop,Own,Apartment/Condo,Male,Yes
106,Other,Own,House,Female,Yes
107,Rock,Own,Apartment/Condo,Male,Yes
108,R&B,Rent,House,Female,No
109,R&B,Rent,Apartment/Condo,Female,Yes
110,Rock,Own,Apartment/Condo,Male,No
111,Hip-Hop,Own,House,Female,No
112,Pop,Rent,House,Male,No
113,Pop,Own,House,Male,No
114,Hip-Hop,Own,Apartment/Condo,Male,Yes
115,R&B,Rent,Apartment/Condo,Female,No
116,Country,Own,Apartment/Condo,Female,Yes
117,Rock,Own,House,Male,Yes
118,Pop,Own,House,Female,No
119,Other,Rent,House,Female,No
120,Hip-Hop,Rent,House,Male,No
121,Hip-Hop,Own,Apartment/Condo,Male,Yes
122,Other,Own,House,Female,Yes
123,Rock,Own,Apartment/Condo,Female,No
124,Hip-Hop,Rent,House,Male,Yes
125,Other,Own,Apartment/Condo,Male,No
