Armspan_cm,Height_cm
178,179
256,62
184,175
172,172
170,173
153,175
84,180.3
162,160
167,174
60,148
173,130
168,166.4
163,155
168,155
175,176
180,175
171,170
132,150
180.9,180.9
172,183
165,170.1
188,177.8
170,170
150,175
170,183
180,168
180,182
159,165
182,175
192,194
152,158
164,161
167,169
145,154
160,165.1
160,152.5
172,154
169,185
170,162
183,175
167,182.8
158,157
158,162
187,181
165,175.2
177.5,178
145,160
165,176
169,158
157,157
147,149
161,169
201,201
180,175
173,173
163,158
180,180
179,170
160,162
163.5,163
170,172
168,171
183,182
171,178
150,170
192,192
170,162.5
170,163.7
160,165
157,160
168,168
153,154
190,183
165,175.2
172,170
170,159
158,168
159,177.8
168,173
162,178
178,175
152,173
173,170
165,159
196,180
160,167
175,182
159,159
160,179
152,167
189,182
160,160
147,175
182,175
182,177
134,155
170,179.1
174,175
168,170
153,157
