Zip Code,Store Location,AvgInc,OrgVeg,,,,,,,,,,,,,,,
78204,South Flores,71186.00,36,,,,,,,,,,,,,,,
78207,N. Rosillo st,34234.00,4,,,,,,,,,,,,,,,
78204,Nogalitos st,71186.00,28,,,,,,,,,,,,,,,
78201,Frederickburg rd,48760.00,31,,,,,,,,,,,,,,,
78212,Olmos,78096.00,78,,,,,,,,,,,,,,,
78202,N New Braunfels Ave,40506.00,14,,,,,,,,,,,,,,,
78237,Castroville,38166.00,12,,,,,,,,,,,,,,,
78228,Culebra rd,50398.00,18,,,,,,,,,,,,,,,
78227,Marbach rd,49437.00,38,,,,,,,,,,,,,,,
78240,Babcock rd,66073.00,84,,,,,,,,,,,,,,,
78230,Wurzbach rd,86566.00,61,,,,,,,,,,,,,,,
78251,W Loop 1604 N,78176.00,56,,,,,,,,,,,,,,,
78238,Bandera rd,59154.00,62,,,,,,,,,,,,,,,
78223,S.New Braunfels,50252.00,44,,,,,,,,,,,,,,,
78221,SW Military,48364.00,26,,,,,,,,,,,,,,,
78224,South Zarzamora,56274.00,29,,,,,,,,,,,,,,,
78220,W.W. White rd,41318.00,15,,,,,,,,,,,,,,,
78216,San pedro,65911.00,18,,,,,,,,,,,,,,,
78223,S.E Military dr,50252.00,65,,,,,,,,,,,,,,,
78218,Austiin hwy,53945.00,50,,,,,,,,,,,,,,,
78213,West Avenue,59072.00,35,,,,,,,,,,,,,,,
78227,Valley Hi dr,49437.00,36,,,,,,,,,,,,,,,
78244,Foster dr,72080.00,28,,,,,,,,,,,,,,,
78239,Montogomery rd,70530.00,46,,,,,,,,,,,,,,,
78217,Perrinbeiter rd,57199.00,29,,,,,,,,,,,,,,,
78251,FM 471 west,78176.00,73,,,,,,,,,,,,,,,
78250,Guilbeau rd,78288.00,53,,,,,,,,,,,,,,,
78230,De Zavala,86566.00,86,,,,,,,,,,,,,,,
78247,Thousand oaks,84181.00,68,,,,,,,,,,,,,,,
78247,Oconnor rd,84181.00,56,,,,,,,,,,,,,,,
78251,Potranco rd,78176.00,85,,,,,,,,,,,,,,,
78247,Bulverde rd,84181.00,86,,,,,,,,,,,,,,,
78232,18140 San Pedro,92946.00,82,,,,,,,,,,,,,,,
78249,9238 N Loop 1004 west,77894.00,96,,,,,,,,,,,,,,,
