HCardenas,RDelgado,FFranklin,JGreenfield,JMaggard,OReyes,AVillatoro
yes,Pizza,Yes,yes,Working alone,Rafa,Talking with your friends
yes,Pizza,Yes,yes,Working alone,Rafa,Talking with your friends
yes,Burgers,No,no,Working alone,Rafa,Talking with your friends
yes,Burgers,Yes,yes,Working in groups,Cm Punk,Walking around
yes,Pizza,Yes,yes,Working alone,Undertaker,Eating your lunch
yes,Pizza,Yes,yes,Working in groups,John Cena,Talking with your friends
yes,Burgers,Yes,no,Working alone,Big Show,Talking with your friends
yes,Pizza,Yes,no,Working alone,Big Show,Talking with your friends
yes,Pizza,Yes,yes,Working in groups,Big Show,Walking around
yes,Pizza,Yes,yes,Working alone,Big Show,Completing work
yes,Burgers,Yes,yes,Working alone,Big Show,Talking with your friends
no,Burgers,No,yes,Working in groups,Big Show,Talking with your friends
sometimes,Pizza,Yes,yes,Working alone,Cm Punk,Walking around
sometimes,Pizza,Yes,yes,Working in groups,Big Show,Talking with your friends
no,Pizza,Yes,no,Working in groups,Rafa n Woe,Talking with your friends
sometimes,Burgers,Yes,no,Working in groups,Big Show,Talking with your friends
no,Burgers,Yes,no,Working in groups,John Cena,Talking with your friends
no,Burgers,Yes,yes,Working alone,John Cena,Talking with your friends
sometimes,Burgers,No,yes,Working in groups,John Cena,Eating your lunch
no,Burgers,Yes,yes,Working in groups,Big Show,Walking around
yes,Pizza,Yes,no,Working alone,John Cena,Talking with your friends
yes,Pizza,Yes,yes,Working in groups,Big Show,Talking with your friends
sometimes,Pizza,Yes,yes,Working in groups,Big Show,Eating your lunch
yes,Burgers,Yes,yes,Working in groups,Rafa,Talking with your friends
yes,Pizza,Yes,yes,Working in groups,John Cena,Talking with your friends
,Pizza,,yes,,Big Show,
,Burgers,,,,Rafa,
,,,,,John Cena,
,,,,,Big Show,
