J Arellano,ABusby,KCaballero,JCastillo,LCurry,EGomez,ALozano,LMackley,ERamirez,SLuna,MFigueroa,MGonzalez,JBenitez,JAlfaro,SStone,PMackewicz,SPetrizami,AVilla
in the libary,10,Spicy,NO,playing the game,sweet,Yes,Movies,yes,1,1-10,Spring,No more dress code,4,No,Dog,after,Yes. 
2nd floor seats,60,Spicy,yes,watching tiktok,sweet,Yes,Movies,yes,3,11-20,winter,No more standardized testing,25,No,Cat,after,No
outside where the field is at,45,Spicy,NO,spending time with friends,sweet,No,Tv shows,yes,2,1-10,Summer,No more homework,7,Yes,Dog,before,yes
fish bowl,67,Spicy,NO,spending time with friends,salty,Yes,Movies,yes,1,1-10,winter,No more dress code,2,No,Cat,before,yes
court yard,7,Non-Spicy,NO,sleeping,salty,Yes,Tv shows,yes,3,1-10,winter,No more dress code,12,No,Dog,after,Yes
the locker room,24,Non-Spicy,yes,spending time with friends,salty,No,Tv shows,yes,1,21+,winter,No more dress code,5,No,Cat,before,no 
in a quiet classroom,10,Spicy,NO,spending time with friends,sweet,No,Movies,yes,4,1-10,winter,No more dress code,0,No,Dog,before,no
p tech tables,40,Spicy,yes,spending time with friends,sweet,No,Tv shows,yes,3,1-10,summer ,No more dress code,2,No,Dog,after,Yes
fish bowl,10,Spicy,yes,spending time with friends,sweet,Yes,Tv shows,unsure,5,1-10,spring,improve the quality of school lunch,1,No,Dog,before,yes
The fishbowl,80,Spicy,yes,sleeping,sweet,No,Tv shows,no,3,11-20,Winter,improve the quality of school lunch,2,No,Cat,after,yes
patio infront of the track,10,Spicy,NO,watching tv,sweet,No,Tv shows,no,3,1-10,fall,No more dress code,1,No,Dog,after,No
the library ,120,Spicy,yes,spending time with friends,salty,Yes,Movies,unsure,4,21+,Fall,improve the quality of school lunch,5,No,Cat,after,Yes
the library ,30,Spicy,yes,spending time with friends,sweet,No,Movies,yes,3,21+,summer,No more standardized testing,0,No,Cat,after,No
fish bowl,15,Non-Spicy,yes,sleeping,sweet,Yes,Tv shows,no,3,21+,fall,No more dress code,5,No,Dog,after,Yes
fishbowl,25,Spicy,yes,,salty,Yes,,unsure,1,21+,Winter,improve the quality of school lunch,3,Yes,Dog,before,No
By staircase,30,Non-Spicy,yes,,sweet,Yes,,yes,3,11-20,winter,No more dress code,4,Yes,Dog,before,no
outside peaceful,40,Spicy,yes,,sweet,No,,yes,1,11-20,Spring,No more dress code,3,Yes,Dog,after,no
the auditorium doors in the hallway,80,Spicy,NO,,salty,Yes,,no,3,11-20,Winter,No more dress code,2,No,Dog,after,yes
cafeteria,30,Spicy,yes,,salty,Yes,,unsure,2,1-10,summer,No more dress code,2,No,Cat,before,yes
ms bartletts closet ,200,Spicy,yes,,salty,Yes,,no,4,21+,fall,No more dress code,1,Yes,Dog,after,No
a random classrom thats quiet,30,Spicy,yes,,sweet,No,,yes,3,11-20,summer,improve the quality of school lunch,20,Yes,Cat,I don't have a car,yes
fish bowl,520,Spicy,yes,,sweet,Yes,,yes,4,1-10,summer,improve the quality of school lunch,6,No,Cat,I don't have a car,Yes
p-tech area or library ,30,Spicy,NO,,salty,Yes,,yes,2,11-20,fall,No more standardized testing,2,No,Dog,I don't have a car,yes
Fishbowl,90,Spicy,NO,,sweet,Yes,,unsure,5,11-20,winter,No more standardized testing,24,No,Dog,I don't have a car,yes
fishbowl,30,Spicy,yes,,salty,No,,unsure,3,21+,fall,No more dress code,2,No,Cat,before,yes
