LClapp,NFlores,JFreeman,JHenderson,JHerrera,IHidrogo,ALahetko,SLuna,TMahan,AOlvera,RPerdomo,MPerez,JPerez,RSorg,EZamarron
No,Yes,World's Nastiest Food,Yes,3-4 hours,go out with friends,Earbuds,0,Horror,vanilla,Lies,wet,Video game,early release,yes
No,Yes,World's Spiciest Chip,No,5-6 hours,go out with friends,Headphones,2,Romance,Chocolate ,Emotions,wet,Soccer,late arrival,yes
No,Yes,World's Spiciest Chip,No,3-4 hours,take a nap,Headphones,6,Romance,Vanilla,Lies,wet,video games,lunch,yes
Yes,Yes,World's Spiciest Chip,Yes,5-6 hours,take a nap,Headphones,0,Horror,bubble gum,Emotions,wet,video games ,field days,no
No,No,World's Spiciest Chip,No,5-6 hours,go out with friends,Headphones,4,Romance,idk,Emotions,wet,Soccer,late arrival,yes
Yes,No,World's Spiciest Chip,No,3-4 hours,go out with friends,Headphones,5,Romance,Cookies and Cream,Lies,wet,video games ,field days,yes
Yes,Yes,World's Nastiest Food,No,5-6 hours,go out with friends,Earbuds,3,Mystery/Crime,strawberry,Lies,wet,Basketball,early release,yes
Yes,Yes,World's Spiciest Chip,No,5-6 hours,take a nap,Headphones,0,Horror,Chocolate ,Time,wet,Basketball,early release,yes
No,Yes,World's Spiciest Chip,No,Less than 1hr,spent time with the family,Headphones,1,Romance,Strawberry,Emotions,wet,video games,early release,no
No,Yes,World's Spiciest Chip,Yes,More than 6 hours,go for a walk or run,Headphones,2,Romance,Pecan,Time,wet,Basketball,early release,no
No,No,World's Spiciest Chip,Yes,More than 6 hours,take a nap,Earbuds,3,Romance,cookies n cream,Lies,wet,Soccer,early release,yes
Yes,Yes,World's Spiciest Chip,No,More than 6 hours,take a nap,Earbuds,2,Romance,vanilla,Lies,wet,video games,late arrival,yes
Yes,Yes,World's Nastiest Food,Yes,5-6 hours,go for a walk or run,Headphones,4,Literary Fiction,bubble gum,Lies,wet,Youtube,early release,yes
No,Yes,World's Spiciest Chip,No,Less than 1hr,go out with friends,Headphones,4,Romance,pecan,Lies,wet,Gym,late arrival,yes
Yes,Yes,World's Spiciest Chip,Yes,3-4 hours,go out with friends,Headphones,5,Mystery/Crime,vanilla,Emotions,dry,video games,early release,yes
No,Yes,World's Spiciest Chip,No,5-6 hours,take a nap,Earbuds,3,Romance,rocky road,Time,wet,video games,early release,yes
Yes,No,World's Nastiest Food,Yes,More than 6 hours,spent time with the family,Headphones,1,Romance,cookie dough,Air,wet,video games,early release,yes
No,Yes,World's Nastiest Food,No,3-4 hours,go out with friends,Earbuds,4,Horror,cookie dough,Lies,wet,Basketball,early release,no
No,Yes,World's Spiciest Chip,No,More than 6 hours,spent time with the family,Earbuds,1,Romance,rocky road,Lies,wet,Basketball,field days,yes
No,Yes,World's Nastiest Food,Yes,Less than 1hr,go out with friends,Earbuds,3,Horror,chocolate,Lies,dry,video games,late arrival,yes
,Yes,World's Spiciest Chip,Yes,Less than 1hr,spent time with the family,Earbuds,0,Mystery/Crime,strawberry,Time,wet,Soccer,lunch,yes
,No,World's Spiciest Chip,No,More than 6 hours,go out with friends,Headphones,3,Mystery/Crime,pecan,Lies,wet it,video games,field days,yes
,No,World's Spiciest Chip,Yes,Less than 1hr,take a nap,Earbuds,4,Romance,bubble gum,Emotions,both,gym,early release,yes
,Yes,World's Spiciest Chip,No,1-2 hours,take a nap,Headphones,0,Romance,cookies n cream,Lies,wet,gym,late arrival,no
,No,World's Spiciest Chip,Yes,1-2 hours,go for a walk or run,Headphones,5,Romance,cookies n cream,Lies,wet,Soccer,lunch,no
,Yes,,,3-4 hours,,,3,,cookies n cream,,wet,,lunch,
,,,,5-6 hours,,,2,,,,,,,
,,,,5-6 hours,,,1,,,,,,,
