Technology,Traditional,Self-Paced,Project-Based
89,63,60,44
26,57,61,37
82,59,61,39
50,58,63,38
84,60,60,40
63,59,61,39
93,57,61,36
38,62,61,42
85,61,61,41
33,63,65,44
71,55,61,34
62,66,69,47
90,63,65,44
31,58,62,37
76,67,62,49
64,58,62,38
38,60,62,40
61,52,61,31
33,55,63,34
63,58,61,38
53,56,61,35
78,57,61,37
31,63,65,43
38,62,61,43
97,63,63,44
83,67,61,48
94,58,62,38
82,53,61,31
32,56,62,35
51,65,63,46
79,54,63,33
22,63,65,43
49,58,61,38
33,59,61,39
83,57,61,37
92,59,62,39
52,59,61,39
92,69,62,50
79,58,61,37
41,58,74,38
34,59,61,39
25,58,61,38
74,66,61,47
66,52,62,30
67,59,61,39
24,63,62,43
63,56,61,35
67,63,61,43
47,58,61,38
54,54,61,32
78,65,62,46
81,58,61,37
57,55,61,34
89,53,62,32
92,58,61,38
23,59,61,39
87,58,62,38
34,63,61,43
19,61,64,41
29,49,61,27
23,60,61,40
75,56,61,35
48,56,63,36
89,62,61,43
35,62,65,43
84,59,61,39
61,52,61,30
43,56,61,36
37,55,62,34
38,59,60,39
29,59,61,38
27,56,61,35
86,65,61,46
44,52,61,31
99,64,61,45
31,65,61,46
91,56,61,35
99,57,61,36
86,56,63,35
61,58,60,37
65,64,62,45
94,59,61,39
35,67,61,48
94,57,63,36
100,57,61,36
56,59,61,39
59,63,61,44
29,60,61,40
65,57,70,37
85,62,61,42
67,65,61,46
45,57,62,36
36,61,62,42
97,61,62,41
20,60,61,39
79,58,60,37
44,56,61,35
65,63,62,44
63,59,62,39
71,57,61,36
43,61,61,41
67,61,64,41
61,62,62,42
64,56,64,35
72,59,61,39
23,58,66,37
45,63,61,44
76,59,63,39
18,61,61,41
84,59,61,39
91,56,63,36
60,64,61,45
45,56,63,35
65,62,61,42
28,66,67,47
73,66,61,47
89,59,61,39
48,67,66,48
73,55,62,34
88,57,62,36
50,63,72,44
64,59,61,39
24,63,62,43
30,57,63,36
59,58,61,37
83,67,63,48
27,61,61,42
31,58,61,38
25,58,62,38
75,57,61,37
77,53,63,32
78,59,60,39
93,61,61,41
27,57,61,37
45,69,61,50
19,61,61,42
71,62,62,42
67,53,61,31
53,62,61,43
92,66,61,47
100,54,63,33
37,64,61,45
70,61,61,41
85,62,61,43
58,55,63,34
67,66,61,47
38,59,60,38
62,55,61,34
30,52,61,31
73,55,62,35
28,63,61,44
29,55,63,34
53,61,61,41
51,52,62,31
83,62,61,43
83,58,63,37
56,62,60,42
59,66,60,47
63,62,61,43
78,67,61,48
47,62,61,42
84,63,62,44
34,63,62,44
38,62,61,42
50,51,61,29
40,65,60,45
22,62,61,43
67,53,61,32
71,54,61,33
21,55,62,34
72,60,62,41
