Penny Age (2014-Year),Year
79,1935
69,1945
68,1946
56,1958
54,1960
51,1963
50,1964
50,1964
49,1965
48,1966
47,1967
46,1968
46,1968
46,1968
45,1969
45,1969
43,1971
43,1971
43,1971
43,1971
42,1972
42,1972
41,1973
41,1973
40,1974
40,1974
40,1974
40,1974
40,1974
39,1975
38,1976
38,1976
38,1976
38,1976
38,1976
38,1976
38,1976
37,1977
37,1977
37,1977
37,1977
37,1977
37,1977
37,1977
37,1977
37,1977
37,1977
37,1977
36,1978
36,1978
36,1978
36,1978
35,1979
35,1979
35,1979
35,1979
35,1979
35,1979
35,1979
34,1980
34,1980
34,1980
34,1980
34,1980
34,1980
34,1980
34,1980
33,1981
33,1981
33,1981
33,1981
33,1981
33,1981
33,1981
33,1981
32,1982
32,1982
32,1982
32,1982
32,1982
32,1982
32,1982
31,1983
31,1983
31,1983
31,1983
31,1983
29,1985
29,1985
29,1985
29,1985
29,1985
29,1985
29,1985
29,1985
29,1985
29,1985
29,1985
28,1986
28,1986
28,1986
28,1986
28,1986
28,1986
27,1987
27,1987
27,1987
27,1987
27,1987
26,1988
26,1988
26,1988
26,1988
26,1988
26,1988
26,1988
26,1988
25,1989
25,1989
25,1989
25,1989
25,1989
25,1989
25,1989
25,1989
25,1989
25,1989
25,1989
24,1990
24,1990
24,1990
24,1990
24,1990
24,1990
24,1990
24,1990
24,1990
24,1990
24,1990
23,1991
23,1991
23,1991
23,1991
23,1991
22,1992
22,1992
22,1992
22,1992
22,1992
22,1992
22,1992
22,1992
21,1993
21,1993
21,1993
21,1993
21,1993
21,1993
21,1993
21,1993
21,1993
20,1994
20,1994
20,1994
20,1994
20,1994
20,1994
20,1994
20,1994
20,1994
20,1994
19,1995
19,1995
19,1995
19,1995
19,1995
19,1995
19,1995
19,1995
19,1995
19,1995
18,1996
18,1996
18,1996
18,1996
18,1996
18,1996
18,1996
18,1996
18,1996
18,1996
18,1996
18,1996
18,1996
18,1996
17,1997
16,1998
16,1998
16,1998
16,1998
16,1998
16,1998
16,1998
16,1998
16,1998
16,1998
16,1998
16,1998
15,1999
15,1999
15,1999
15,1999
15,1999
15,1999
15,1999
15,1999
15,1999
15,1999
15,1999
15,1999
15,1999
15,1999
15,1999
15,1999
14,2000
14,2000
14,2000
14,2000
14,2000
14,2000
14,2000
14,2000
14,2000
14,2000
13,2001
13,2001
13,2001
13,2001
13,2001
13,2001
13,2001
13,2001
13,2001
12,2002
12,2002
12,2002
12,2002
12,2002
12,2002
12,2002
12,2002
12,2002
12,2002
12,2002
12,2002
11,2003
11,2003
11,2003
11,2003
11,2003
11,2003
11,2003
11,2003
11,2003
11,2003
11,2003
11,2003
10,2004
10,2004
10,2004
10,2004
10,2004
10,2004
10,2004
10,2004
10,2004
10,2004
10,2004
10,2004
10,2004
10,2004
10,2004
10,2004
9,2005
9,2005
9,2005
9,2005
9,2005
9,2005
9,2005
9,2005
9,2005
9,2005
9,2005
9,2005
9,2005
9,2005
9,2005
9,2005
8,2006
8,2006
8,2006
8,2006
8,2006
8,2006
8,2006
8,2006
8,2006
8,2006
8,2006
8,2006
8,2006
8,2006
8,2006
8,2006
8,2006
8,2006
7,2007
7,2007
7,2007
7,2007
7,2007
7,2007
7,2007
7,2007
7,2007
7,2007
7,2007
7,2007
7,2007
7,2007
7,2007
7,2007
7,2007
7,2007
7,2007
7,2007
7,2007
7,2007
7,2007
7,2007
7,2007
7,2007
6,2008
6,2008
6,2008
6,2008
6,2008
6,2008
6,2008
6,2008
6,2008
5,2009
5,2009
5,2009
5,2009
5,2009
5,2009
4,2010
4,2010
4,2010
4,2010
4,2010
4,2010
4,2010
4,2010
4,2010
4,2010
4,2010
4,2010
4,2010
4,2010
4,2010
4,2010
4,2010
3,2011
3,2011
3,2011
3,2011
3,2011
3,2011
3,2011
3,2011
3,2011
3,2011
3,2011
3,2011
3,2011
3,2011
3,2011
3,2011
3,2011
3,2011
2,2012
2,2012
2,2012
2,2012
2,2012
2,2012
2,2012
2,2012
2,2012
2,2012
2,2012
2,2012
2,2012
2,2012
2,2012
2,2012
2,2012
2,2012
2,2012
2,2012
2,2012
2,2012
2,2012
2,2012
2,2012
2,2012
2,2012
2,2012
2,2012
2,2012
2,2012
2,2012
2,2012
2,2012
2,2012
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
1,2013
0,2014
0,2014
0,2014
0,2014
0,2014
0,2014
0,2014
0,2014
0,2014
