Fav,Slices
Supreme,2
Pepperoni,4
Pepperoni,4
Pepperoni,4
Pepperoni,4
Pepperoni,2
Pepperoni,2
Pepperoni,3
Cheese,3
Pepperoni,2
Pepperoni,2
Pepperoni,2
Pepperoni,3
Cheese,3
Pepperoni,6
Pepperoni,5
Meat lovers,3
Meat lovers,5
Pepperoni,6
Pepperoni,3
Pepperoni,4
Supreme,8
Pepperoni,2
Meat lovers,2
Pepperoni,3
Cheese,2
Pepperoni,4
Pepperoni,4
Pepperoni,3
Pepperoni,2
Pepperoni,2
Pepperoni,4
Pepperoni,2
Cheese,2
Cheese,2
Pepperoni,2
Pepperoni,4
Pepperoni,4
Pepperoni,3
Pepperoni,2
Cheese,3
Pepperoni,3
Pepperoni,8
Pepperoni,4
Sausage,16
Pepperoni,2
