Do you participate in any school-sponsored extracurricular activities?,Do you have any siblings at ____ Middle or ____ High?,Did you eat breakfast this morning?,Did you go to bed before 11:00 p.m. last night?,Do you have a computer with Internet access at home?
no,no,yes,no,no
no,yes,yes,yes,yes
yes,yes,no,yes,yes
no,no,yes,yes,yes
yes,yes,yes,yes,yes
no,no,yes,yes,no
no,no,no,no,yes
no,no,no,no,yes
no,yes,yes,no,no
yes,yes,yes,no,no
no,no,no,yes,yes
no,no,yes,yes,yes
yes,yes,yes,no,yes
no,yes,yes,yes,no
no,no,no,yes,yes
no,yes,yes,yes,yes
no,yes,yes,yes,yes
no,no,yes,no,yes
yes,yes,yes,no,yes
yes,yes,no,yes,yes
yes,yes,yes,yes,yes
no,yes,yes,no,no
yes,yes,no,yes,yes
yes,no,no,yes,yes
no,yes,yes,yes,yes
yes,yes,yes,yes,no
no,yes,yes,yes,yes
yes,yes,no,yes,yes
yes,yes,yes,no,no
no,no,no,yes,no
no,yes,no,no,yes
no,yes,yes,yes,yes
no,yes,no,no,yes
no,yes,yes,yes,yes
yes,yes,yes,yes,no
yes,yes,yes,yes,no
no,no,yes,yes,no
yes,no,no,no,yes
no,no,no,yes,yes
yes,no,yes,yes,yes
no,yes,yes,yes,yes
no,yes,no,no,yes
yes,no,yes,no,yes
yes,no,no,no,yes
yes,yes,no,yes,yes
yes,yes,no,yes,yes
yes,yes,yes,yes,yes
no,yes,yes,yes,yes
yes,yes,no,yes,yes
no,no,no,no,yes
yes,yes,no,yes,no
yes,no,no,yes,yes
no,no,no,yes,no
no,yes,no,yes,yes
yes,yes,yes,yes,yes
yes,no,no,yes,yes
yes,no,yes,no,no
no,no,yes,yes,yes
no,yes,yes,yes,no
no,no,no,yes,yes
yes,yes,yes,yes,yes
no,no,yes,yes,yes
no,yes,yes,yes,yes
yes,no,yes,yes,yes
no,no,yes,yes,yes
no,yes,yes,yes,yes
yes,no,yes,yes,no
yes,yes,no,yes,yes
no,no,yes,no,yes
no,yes,yes,no,yes
yes,no,no,yes,yes
yes,no,yes,yes,no
no,yes,no,yes,yes
no,no,yes,no,no
no,yes,yes,no,yes
no,no,yes,yes,yes
no,yes,yes,no,yes
no,yes,no,yes,yes
yes,yes,yes,yes,no
yes,yes,yes,no,no
yes,no,no,yes,yes
yes,yes,yes,yes,no
no,no,no,no,no
yes,yes,yes,yes,yes
yes,yes,no,no,yes
yes,yes,yes,no,yes
no,no,no,yes,yes
yes,yes,yes,no,yes
no,no,yes,yes,no
yes,no,yes,no,yes
no,yes,yes,no,yes
no,yes,no,yes,yes
yes,yes,yes,yes,no
yes,yes,yes,yes,yes
no,no,yes,no,yes
no,no,no,no,yes
yes,no,yes,yes,yes
no,yes,no,no,yes
yes,no,yes,yes,no
yes,yes,no,yes,yes
yes,yes,yes,yes,yes
yes,no,yes,yes,no
no,no,yes,yes,yes
yes,yes,yes,yes,no
yes,no,no,yes,yes
no,no,yes,no,yes
yes,yes,no,no,no
no,yes,no,yes,yes
no,yes,yes,yes,yes
yes,no,yes,yes,yes
no,yes,no,yes,yes
yes,yes,yes,yes,yes
no,yes,no,yes,yes
yes,yes,yes,no,yes
yes,yes,yes,yes,no
yes,no,no,no,yes
yes,no,no,no,no
no,yes,yes,yes,no
no,no,no,no,no
no,yes,no,no,yes
no,no,no,yes,yes
no,yes,no,no,no
no,yes,no,no,yes
no,no,no,yes,no
no,no,no,yes,no
yes,no,no,no,yes
no,no,no,yes,no
yes,yes,yes,no,yes
no,yes,no,no,no
no,no,no,yes,yes
yes,yes,yes,no,no
yes,yes,yes,yes,yes
yes,no,yes,no,no
no,yes,yes,no,yes
yes,yes,yes,yes,yes
yes,no,yes,no,yes
yes,yes,no,yes,yes
yes,no,yes,no,yes
no,yes,no,yes,yes
yes,no,yes,yes,no
yes,no,no,yes,yes
yes,no,no,yes,no
no,no,no,no,yes
yes,yes,yes,yes,yes
yes,no,no,no,yes
yes,yes,yes,yes,yes
no,no,yes,yes,yes
no,no,yes,yes,yes
yes,no,yes,no,yes
no,no,yes,yes,yes
no,no,yes,no,no
no,yes,yes,yes,no
no,no,no,yes,yes
yes,no,no,yes,yes
yes,yes,no,no,no
yes,yes,yes,yes,yes
no,no,no,yes,yes
yes,yes,yes,yes,yes
no,no,no,yes,no
no,yes,no,yes,yes
no,yes,yes,yes,yes
yes,yes,yes,yes,yes
no,yes,no,yes,yes
yes,no,no,no,no
no,no,yes,yes,yes
no,yes,yes,yes,no
no,yes,yes,yes,yes
yes,no,yes,no,yes
no,no,yes,no,yes
no,no,yes,yes,yes
no,yes,no,yes,no
no,no,yes,yes,yes
no,no,no,no,yes
no,yes,yes,yes,yes
no,yes,no,yes,no
yes,yes,no,no,yes
yes,yes,no,no,yes
yes,yes,yes,yes,yes
yes,no,yes,no,yes
yes,no,yes,no,yes
no,no,yes,yes,yes
no,no,yes,yes,no
no,yes,no,no,yes
no,yes,yes,no,yes
no,no,no,yes,no
yes,yes,yes,yes,no
no,no,yes,yes,yes
no,yes,yes,no,yes
no,yes,yes,no,yes
yes,yes,yes,yes,yes
yes,no,no,yes,yes
no,yes,yes,yes,no
no,yes,no,yes,yes
no,no,no,yes,yes
no,no,yes,yes,no
no,yes,no,yes,yes
no,yes,yes,yes,yes
no,yes,yes,no,yes
yes,no,yes,yes,yes
no,no,no,yes,yes
yes,yes,yes,yes,yes
yes,yes,yes,no,yes
no,no,yes,no,yes
yes,yes,yes,yes,no
no,no,yes,no,no
no,yes,no,yes,yes
no,no,no,yes,yes
no,yes,yes,yes,yes
yes,yes,yes,yes,yes
yes,no,no,yes,yes
yes,yes,yes,yes,yes
yes,yes,no,no,no
no,yes,yes,no,no
yes,no,no,no,no
yes,yes,yes,yes,yes
no,yes,yes,yes,yes
yes,yes,yes,yes,yes
yes,yes,yes,no,yes
yes,yes,yes,yes,yes
yes,no,yes,no,yes
no,no,yes,yes,no
no,yes,yes,yes,yes
yes,no,no,no,yes
yes,yes,no,no,yes
no,yes,no,no,yes
no,yes,yes,yes,no
yes,yes,no,no,yes
no,no,yes,yes,yes
yes,no,no,no,yes
yes,yes,yes,no,yes
no,yes,no,no,no
no,yes,no,no,yes
yes,no,no,no,yes
yes,yes,no,yes,yes
yes,no,no,yes,yes
no,yes,yes,no,yes
no,no,yes,yes,yes
yes,yes,no,no,yes
no,yes,yes,yes,yes
yes,yes,no,no,yes
yes,yes,no,no,no
no,no,no,yes,no
yes,no,no,no,no
yes,no,yes,no,no
no,yes,yes,no,yes
no,no,yes,yes,yes
yes,no,yes,yes,no
no,yes,yes,no,yes
no,no,no,yes,yes
yes,no,yes,no,yes
yes,no,no,no,yes
no,no,no,yes,yes
yes,yes,no,yes,no
no,yes,no,no,yes
no,yes,no,no,yes
no,yes,no,no,yes
yes,no,no,no,yes
no,no,no,no,yes
no,yes,no,no,yes
no,no,no,no,yes
no,no,no,yes,yes
no,no,no,no,yes
yes,no,no,yes,no
no,yes,no,no,yes
yes,yes,no,no,yes
yes,no,no,no,yes
yes,no,yes,no,yes
no,yes,no,no,yes
yes,yes,yes,yes,yes
yes,yes,no,yes,no
no,yes,no,no,yes
no,no,no,yes,yes
yes,yes,yes,yes,no
no,yes,yes,yes,yes
no,no,yes,no,yes
no,no,yes,yes,yes
no,yes,no,no,yes
no,yes,no,yes,yes
no,no,no,yes,yes
yes,no,no,yes,yes
yes,yes,yes,yes,yes
yes,yes,yes,yes,yes
no,yes,no,yes,yes
no,no,no,no,yes
no,no,no,yes,no
no,no,yes,no,yes
yes,no,yes,yes,yes
