Timestamp,Grade,Credit,Happy,Content,Interesting,Grading,AssignNm,AssignTm,Freetime,Software1,Software2,Fairly,Strict,Rec
4/15/2026 14:50,Senior,Yes,Yes,About right,Interesting,Too easy,About right,Too much time to complete the assignments,Too much free time in the class/,"Google Sheets, DESMOS, POSIT",use all three,Fairly,Not strict enough,Yes
4/15/2026 14:51,Junior,Yes,Yes,About right,Interesting,Too easy,About right,About the right amount of time to complete the assignments.,The right amount of free time in the class.,DESMOS,use all three,Fairly,Not strict enough,Yes
4/15/2026 14:51,Senior,No,Yes,Too hard,Boring,About right,About right,Too little time to complete the assignments.,The right amount of free time in the class.,"Google Sheets, DESMOS",use ONLY use Google Sheets for ALL assignments,Fairly,Too strict,Yes
4/15/2026 14:51,Junior,Yes,Yes,Too easy,Interesting,About right,About right,Too much time to complete the assignments,The right amount of free time in the class.,"DESMOS, POSIT",use all three,Fairly,About right,Yes
4/15/2026 15:12,Senior,Yes,No,About right,Interesting,About right,About right,Too little time to complete the assignments.,The right amount of free time in the class.,"Google Sheets, DESMOS",use all three,Fairly,About right,Yes
4/17/2026 9:42,Senior,Yes,Yes,About right,Neither,About right,About right,About the right amount of time to complete the assignments.,The right amount of free time in the class.,Google Sheets,use all three,Fairly,About right,Yes
4/17/2026 11:32,Senior,Yes,Yes,Too easy,Interesting,About right,About right,About the right amount of time to complete the assignments.,The right amount of free time in the class.,POSIT,use all three,Fairly,About right,Yes
4/17/2026 14:34,Senior,Yes,No,Too hard,Interesting,About right,Too many assignsment,Too little time to complete the assignments.,Too little free time in the class.,"Google Sheets, DESMOS, POSIT",use ONLY DESMOS for ALL assignments,Fairly,About right,Yes
4/20/2026 9:52,Senior,Not sure,No,Too hard,Neither,About right,About right,About the right amount of time to complete the assignments.,The right amount of free time in the class.,DESMOS,use all three,Fairly,About right,Yes
4/20/2026 10:05,Junior,Yes,No,Too hard,Interesting,Too hard,About right,Too little time to complete the assignments.,Too little free time in the class.,DESMOS,use ONLY DESMOS for ALL assignments,Fairly,About right,Yes
4/20/2026 10:50,Senior,Not sure,Yes,About right,Interesting,About right,About right,About the right amount of time to complete the assignments.,The right amount of free time in the class.,DESMOS,use all three,Fairly,About right,Yes
4/20/2026 13:41,Senior,Yes,Yes,About right,Neither,About right,About right,About the right amount of time to complete the assignments.,The right amount of free time in the class.,"Google Sheets, DESMOS",use ONLY DESMOS for ALL assignments,Fairly,About right,Yes
4/20/2026 13:44,Senior,Yes,No,About right,Interesting,About right,About right,About the right amount of time to complete the assignments.,The right amount of free time in the class.,POSIT,use ONLY POSIT for ALL assignments,Fairly,Not strict enough,Yes
4/20/2026 14:44,Senior,Yes,No,About right,Interesting,About right,About right,About the right amount of time to complete the assignments.,The right amount of free time in the class.,"Google Sheets, DESMOS, POSIT",use all three,Fairly,About right,Yes
