grade,rest_level
7th,3
7th,3
7th,4
7th,1
7th,4
7th,3
7th,2
7th,2
7th,4
7th,3
7th,2
7th,2
7th,3
7th,2
7th,2
7th,1
7th,3
7th,4
7th,2
7th,4
7th,2
7th,2
7th,4
7th,2
7th,1
7th,4
7th,3
7th,4
7th,3
7th,4
7th,1
7th,2
7th,4
7th,1
7th,2
7th,4
7th,3
7th,2
7th,4
7th,2
7th,1
7th,2
7th,2
7th,4
7th,2
7th,2
7th,2
7th,2
7th,4
7th,4
7th,3
7th,3
7th,3
7th,3
7th,3
7th,3
7th,3
7th,1
7th,2
7th,2
7th,3
7th,3
7th,2
7th,2
7th,2
7th,1
7th,3
7th,4
7th,3
7th,3
7th,3
7th,3
7th,2
7th,2
7th,2
7th,1
7th,4
7th,2
7th,3
7th,4
7th,1
7th,4
7th,3
7th,1
7th,4
7th,2
7th,2
7th,1
7th,4
7th,4
7th,4
7th,4
7th,1
7th,4
7th,3
7th,1
7th,3
7th,2
7th,1
7th,3
7th,3
7th,3
7th,4
7th,2
7th,3
7th,4
7th,1
7th,1
7th,1
7th,3
7th,1
7th,3
7th,4
7th,1
7th,3
7th,3
7th,3
7th,1
7th,3
7th,4
7th,4
7th,4
7th,4
7th,4
7th,3
7th,3
7th,3
7th,3
7th,4
7th,2
7th,4
7th,1
7th,1
7th,1
7th,4
7th,4
7th,4
7th,4
7th,1
7th,3
7th,3
7th,3
7th,1
7th,1
7th,2
7th,2
7th,2
7th,4
7th,3
7th,2
7th,1
7th,1
7th,1
7th,4
7th,4
7th,3
7th,1
7th,2
7th,2
7th,2
7th,3
7th,3
7th,1
7th,4
7th,4
7th,1
7th,1
7th,4
7th,4
7th,3
7th,3
7th,3
7th,2
7th,4
7th,2
7th,2
7th,1
7th,2
7th,2
7th,2
11th,4
11th,1
11th,4
11th,3
11th,4
11th,1
11th,4
11th,1
11th,4
11th,4
11th,4
11th,3
11th,1
11th,3
11th,1
11th,1
11th,1
11th,3
11th,1
11th,4
11th,4
11th,1
11th,4
11th,1
11th,1
11th,1
11th,4
11th,3
11th,1
11th,1
11th,1
11th,4
11th,1
11th,4
11th,1
11th,1
11th,4
11th,1
11th,1
11th,3
11th,1
11th,1
11th,2
11th,4
11th,4
11th,3
11th,1
11th,3
11th,4
11th,1
11th,1
11th,2
11th,3
11th,1
11th,2
11th,3
11th,3
11th,3
11th,3
11th,3
11th,1
11th,3
11th,1
11th,3
11th,1
11th,1
11th,3
11th,4
11th,4
11th,4
11th,4
11th,4
11th,2
11th,3
11th,1
11th,1
11th,1
11th,4
11th,4
11th,1
11th,1
11th,2
11th,1
11th,1
11th,3
11th,4
11th,4
11th,2
11th,1
11th,3
11th,3
11th,1
11th,4
11th,2
11th,3
11th,2
11th,2
11th,2
11th,1
11th,4
11th,4
11th,2
11th,2
11th,2
11th,2
11th,1
11th,1
11th,1
11th,1
11th,3
11th,4
11th,1
11th,1
11th,4
11th,3
11th,1
11th,4
11th,4
11th,1
11th,4
11th,4
11th,1
11th,1
11th,3
11th,1
11th,1
11th,1
11th,3
11th,1
11th,2
11th,4
11th,4
11th,3
11th,4
11th,4
11th,4
11th,4
11th,3
11th,3
11th,1
11th,4
11th,1
11th,1
11th,1
11th,1
11th,1
11th,1
11th,4
11th,4
11th,3
11th,3
11th,4
11th,1
11th,2
11th,4
11th,1
11th,2
11th,1
11th,4
11th,4
11th,4
11th,4
11th,4
11th,2
11th,4
11th,3
11th,4
11th,3
11th,1
11th,4
11th,2
11th,4
11th,4
11th,1
11th,4
11th,4
11th,4
11th,1
11th,4
11th,4
