class_year,hours_sleep
Sophomores,7.8
Sophomores,7.8
Sophomores,8
Sophomores,7.5
Sophomores,7.5
Sophomores,7.5
Sophomores,8.3
Sophomores,8.3
Sophomores,8.5
Sophomores,8.6
Sophomores,8.2
Sophomores,8.2
Sophomores,8.2
Sophomores,8.3
Sophomores,9
Sophomores,9
Sophomores,9.6
Sophomores,7.9
Sophomores,11.8
Sophomores,7.4
Sophomores,7.4
Sophomores,7.4
Sophomores,7.4
Sophomores,7.4
Sophomores,7.5
Sophomores,7.6
Sophomores,7.6
Sophomores,7.7
Sophomores,7.7
Sophomores,7.7
Sophomores,7.8
Sophomores,7.8
Sophomores,7.6
Sophomores,7.6
Sophomores,7.7
Sophomores,7.8
Sophomores,7.8
Sophomores,8
Sophomores,8
Sophomores,8
Sophomores,8
Sophomores,8
Sophomores,8
Sophomores,8.1
Sophomores,8.1
Sophomores,8.1
Sophomores,8.1
Sophomores,8.2
Sophomores,8.2
Sophomores,8.3
Sophomores,8.3
Sophomores,8.3
Sophomores,8.4
Sophomores,8.4
Sophomores,8.4
Sophomores,8.4
Sophomores,8.5
Sophomores,8.5
Sophomores,8.5
Sophomores,8.5
Sophomores,8.5
Sophomores,8.6
Sophomores,8.6
Sophomores,8.6
Sophomores,8.6
Sophomores,8.7
Sophomores,8.7
Sophomores,8.7
Sophomores,8.7
Sophomores,8.8
Sophomores,8.8
Sophomores,8.8
Sophomores,8.9
Sophomores,8.9
Sophomores,9
Sophomores,9.1
Sophomores,9.1
Sophomores,9.1
Sophomores,9.1
Sophomores,9.2
Sophomores,9.4
Sophomores,9.5
Sophomores,9.9
Sophomores,9.3
Sophomores,9.3
Sophomores,10.6
Sophomores,11.3
Sophomores,11.4
Sophomores,11.5
Sophomores,9.4
Sophomores,9.4
Sophomores,10.2
Sophomores,9.7
Sophomores,9.8
Sophomores,9.7
Sophomores,9.8
Sophomores,9.9
Sophomores,10
Sophomores,10.1
Sophomores,10.3
Sophomores,10.4
Sophomores,8
Sophomores,7.6
Sophomores,7.8
Sophomores,7.8
Sophomores,7.8
Sophomores,7.6
Sophomores,7.7
Sophomores,7.7
Sophomores,8
Sophomores,8
Sophomores,8
Sophomores,8
Sophomores,8
Sophomores,7.9
Sophomores,7.8
Sophomores,7.8
Sophomores,8.9
Sophomores,8.2
Sophomores,7.9
Sophomores,7.9
Sophomores,7.9
Sophomores,11.8
Sophomores,11.9
Sophomores,7.4
Sophomores,7.4
Sophomores,7.4
Sophomores,7.4
Sophomores,7.4
Sophomores,7.4
Sophomores,7.5
Sophomores,7.5
Sophomores,7.5
Sophomores,7.5
Sophomores,7.5
Sophomores,7.6
Sophomores,7.6
Sophomores,7.6
Sophomores,7.7
Sophomores,7.7
Sophomores,7.8
Sophomores,7.9
Sophomores,8
Sophomores,8.1
Sophomores,8.1
Sophomores,8.1
Sophomores,8.1
Sophomores,8.2
Sophomores,8.2
Sophomores,8.3
Sophomores,8.4
Sophomores,8.4
Sophomores,8.4
Sophomores,8.7
Sophomores,8.8
Sophomores,9
Sophomores,9.5
Sophomores,9.6
Sophomores,9.7
Sophomores,10
Sophomores,10.4
Sophomores,10.5
Sophomores,10.5
Sophomores,11
Sophomores,11.1
Sophomores,11.2
Sophomores,11.2
Sophomores,11.7
Sophomores,10.7
