Bismarck ,Buffalo,disp,mpg,x,y,x2,y2
8,32,160,21,-1,1,-1,7
14,33,160,21,0,3,0,4
25,41,108,22.8,1,5,1,1
43,52,258,21.4,2,7,2,-2
54,62,360,18.7,3,9,3,-5
64,72,225,18.1,4,11,4,-8
71,77,360,14.3,5,13,5,-11
69,75,146.7,24.4,,,,
58,68,140.8,22.8,,,,
47,58,167.6,19.2,,,,
29,47,167.6,17.8,,,,
16,35,275.8,16.4,,,,
,,275.8,17.3,,,,
,,275.8,15.2,,,,
,,472,10.4,,,,
,,460,10.4,,,,
,,440,14.7,,,,
,,78.7,32.4,,,,
,,75.7,30.4,,,,
,,71.1,33.9,,,,
,,120.1,21.5,,,,
,,318,15.5,,,,
,,304,15.2,,,,
,,350,13.3,,,,
,,400,19.2,,,,
,,79,27.3,,,,
,,120.3,26,,,,
,,95.1,30.4,,,,
,,351,15.8,,,,
,,145,19.7,,,,
,,301,15,,,,
,,121,21.4,,,,
