Chlboo,Classize,class_size,scoremath,scorereading
60,14,,46.985,47.962
35,,15,38.12,64.636
20,,,13.993,20.079
60,,,24.48,33.191
,,,19.331,20.816
0,19,,24.397,.a
125,24,,22.904,23.45
75,12,,31.285,23.343
,,,,
100,,13,22.626,32.057
,,22,41.656,62.12
100,,17,35.35,54.117
120,,24,54.677,76.428
60,,12,35.047,48.198
100,18,,30.262,28.456
100,,19,42.661,56.781
80,17,,32.466,34.878
45,,12,17.681,46.772
10,24,,21.586,25.072
,20,,17.565,14.297
30,,16,29.826,33.528
100,,,41.681,55.565
40,,,21.682,36.138
50,20,,33.318,36.852
50,23,,,
200,,21,32.938,56.881
150,,26,51.22,74.088
30,,34,44.918,58.029
,24,,30.995,46.265
100,,22,53.231,50.283
100,,18,44.9,67
20,10,,15.303,21.449
,,,,
30,22,,17.887,23.126
,,23,43.208,45.123
12,22,,21.773,23.726
50,20,,32.295,22.45
200,,19,38.914,29.546
200,20,,36.321,33.169
,29,,32.766,33.602
250,,,42.469,29.576
70,14,,11.767,17.803
20,,17,48.038,45.956
40,,13,52.253,64.971
5,22,,23.586,22.131
100,19,,33.74,43.398
100,,22,42.955,57.835
20,21,,31.04,35.478
150,28,,37.2,34.796
6,25,,29.324,26.297
45,,22,46.165,53.463
100,20,,24.628,34.833
30,,21,50.263,51.528
.d,18,,20.793,21.502
100,21,,25.942,26.172
20,,31,57.749,76.85
40,18,,17.211,25.453
100,21,,14.858,21.886
100,,16,48.74,57.634
100,47,,38.694,34.19
20,16,,,
60,,23,44.129,82.499
100,,22,41.777,64.624
200,,28,46.602,41.58
3,25,,.a,.a
100,,24,51.081,48.991
50,20,,22.713,23.27
7,20,,25.232,27.568
100,21,,22.443,22.982
6,19,,15.429,.a
,,,44.276,65.231
100,18,,16.121,21.076
100,23,,28.396,27.376
50,,,24.215,29.315
200,14,,50.643,66.071
150,,25,47.542,65.452
25,24,,17.826,.a
20,,13,38.785,55.567
0,20,,13.771,.a
100,,,55.084,81.207
,,20,36.694,32.982
75,,,33.433,39.532
40,,17,26.966,29.557
200,16,,22.077,20.462
200,,21,48.172,72.94
40,26,,25.262,27.176
125,,17,57.721,84.56
15,,22,25.233,
100,19,,,
100,,22,41.194,29.214
17,25,,29.401,34.3
25,12,,43.67,55.985
60,18,,32.037,33.2
,,,,
75,20,,28.072,27.88
10,22,,26.518,36.578
20,,29,49.362,60.844
200,20,,23.22,22.037
100,26,,22.47,38.036
15,,,13.419,18.805
50,,23,41.896,55.037
40,30,,17.565,21.717
100,,28,30.538,38.09
40,,18,44.037,35.709
10,25,,12.383,.a
60,25,,28.206,29.11
100,,19,37.813,54.218
200,,19,44.703,54.923
100,,,22.151,25.42
4,,,43.048,50.87
60,,19,41.166,63.485
10,,31,37.015,36.323
70,,20,38.452,40.999
40,,,44.134,31.213
100,,19,53.266,66.14
200,,,,
100,20,,35.83,51.274
20,,25,45.277,63.473
200,19,,28.701,30.44
,,,36.84,52.776
70,,26,46.013,44.653
100,,19,52.528,68.674
100,,17,56.308,75.328
40,,21,24.817,37.154
200,,,27.173,37.209
,,22,47.125,63.924
10,,13,37.107,38.411
50,26,,45.914,59.489
30,20,,23.64,27.067
200,25,,34.085,47.103
100,14,,32.378,32.524
,,15,23.246,49.564
400,,26,41.312,54.673
15,22,,16.609,16.331
100,,,31.698,29.316
55,20,,23.083,20.117
100,,19,42.707,52.281
20,30,,22.64,28.053
150,14,,43.4,59.726
,,,14.656,.a
,,,,
120,,,43.806,48.806
40,,,21.136,22.629
20,16,,22.347,34.453
25,,35,46.679,67.399
100,21,,39.789,38.374
,,21,47.875,67.195
150,,22,51.927,73.947
20,14,,28.357,27.9
15,,26,43.539,56.161
300,,,53.399,62.484
100,15,,31.507,34.468
40,,,8.917,21.38
,20,,32.508,33.077
,,17,40.894,50.799
30,20,,20.041,43.948
100,,26,49.494,54.292
200,20,,20.188,17.704
50,19,,35.333,25.065
12,21,,35.515,36.06
100,23,,21.168,21.038
20,20,,13.863,.a
40,,17,44.81,63.085
30,,17,53.694,62.774
30,,25,48.571,63.048
75,20,,38.442,37.221
40,,22,46.264,69.282
5,,,42.617,36.409
200,,20,47.826,75.97
175,,20,43.215,48.005
200,,,32.776,49.48
75,29,,42.502,28.946
,15,,37.697,32.477
30,,,32.093,38.196
,,,16.497,.a
,,12,51.898,64.481
15,14,,14.24,16.516
40,,22,36.105,49.238
100,,,21.715,15.331
100,28,,41.186,37.469
,22,,,
200,,26,40.874,36.165
200,,12,42.479,40.737
50,16,,31.61,44.423
40,,18,44.609,82.403
150,45,,30.715,32.144
500,,12,34.101,36.904
200,25,,30.362,35.234
20,,20,54.289,55.161
100,,,39.663,39.082
10,15,,33.621,30.041
200,22,,21.395,30.593
200,21,,17.961,23.047
300,,,47.345,75.859
200,,19,45.185,74.838
50,,,,
20,,19,26.14,28.164
200,,,30.418,32.069
50,,21,41.104,51.703
100,15,,23.777,28.956
100,,,41.488,46.006
11,18,,22.81,23.595
1,,22,47.1,53.371
100,,26,46.271,68.109
10,,21,35.016,47.608
500,,,59.383,70.962
300,,24,42.667,53.632
23,,,41.36,42.336
6,19,,21.608,30.642
10,14,,14.013,14.635
200,20,,35.086,31.76
50,,26,46.674,51.318
10,16,,26.222,28.283
100,,20,42.697,54.379
,21,,19.435,37.424
30,15,,16.535,32.048
,,23,45.24,55.672
100,,30,45.974,63.587
60,22,,,
60,,23,38.384,45.582
300,,30,51.72,57.747
300,,19,18.77,45.073
100,24,,.a,.a
,,,37.029,34.444
200,26,,40.483,44.302
200,,16,44.512,69.03
100,,30,49.42,73.252
40,24,,41.541,58.55
150,20,,28.936,34.224
200,20,,15.869,22.008
100,16,,22.055,24.159
50,13,,25.436,30.106
50,20,,40.16,37.938
20,20,,23.29,37.788
10,20,,21.013,26.454
25,14,,20.386,26.056
100,10,,21.783,27.799
100,,19,47.914,66.413
100,17,,25.943,25.475
75,21,,23.438,29.776
100,,,41.719,32.154
40,,23,44.472,72.092
,,24,55.392,77.645
50,,,18.691,20.472
,,20,44.056,44.002
200,16,,40.121,36.524
15,20,,22.221,25.6
150,18,,32.692,43.134
50,,25,42.401,55.581
5,18,,,
,14,,21.359,24.861
0,21,,18.981,19.173
80,,19,26.353,36.841
,,,34.455,37.646
,20,,22.828,23.587
4,18,,21.315,27.485
,,,19.318,27.658
10,,,28.531,47.719
50,,,54.169,77.191
50,20,,15.877,20.201
100,25,,24.643,40.096
60,,,18.748,18.854
50,25,,26.219,33.888
30,,20,41.029,66.616
10,,30,35.857,51.076
40,,,39.55,38.193
30,,21,40.954,47.404
50,10,,8.516,13.433
,,33,43.611,52.911
20,,,31.638,36.33
100,16,,38.931,34.538
8,20,,20.122,.a
100,,15,39.871,67.159
50,,17,47.036,64.27
100,21,,42.002,66.972
25,,16,35.988,37.162
6,25,,20.627,22.814
50,,20,29.018,48.83
130,,19,47.633,60.325
,,,31.276,31.24
75,,17,46.441,59.658
,,,32.569,32.44
60,24,,33.173,29.278
50,,,48.251,71.461
100,12,,25.706,41.113
,,,30.012,28.453
25,,,47.695,62.455
15,,17,44.503,65.104
,,21,43.96,48.489
100,18,,16.93,26.394
20,19,,25.886,31.304
60,10,,,
200,14,,32.299,30.68
50,20,,32.174,41.934
50,,22,43.883,54.918
60,20,,29.767,34.316
100,25,,29.372,28.347
100,,19,59.231,67.083
25,,20,40.388,44.404
30,,19,43.425,49.234
100,,,56.674,61.326
70,,21,34.053,56.712
40,19,,20.253,26.106
150,22,,32.942,42.353
,,,29.786,29.228
600,,20,57.121,78.71
200,,,52.681,78.241
150,,25,39.239,38.845
200,19,,17.302,25.383
100,,20,48.964,47.865
8,18,,19.088,13.66
30,,21,37.987,34.928
200,18,,43.173,41.001
10,20,,15.924,21.92
200,21,,25.46,38.897
150,,,49.614,73.061
100,30,,15.414,27.382
200,25,,17.324,32.776
,25,,18.536,26.894
240,,22,41.008,54.14
30,,23,47.337,67.659
,16,,16.677,21.313
100,,14,42.538,73.461
75,33,,22.096,26.616
200,,21,44.946,49.913
200,,,32.141,40.256
50,,,55.523,70.862
5,,14,42.923,60.607
200,22,,31.752,35.884
120,,12,56.511,64.204
125,,18,48.9,67.666
40,,23,40.714,56.533
100,,22,54.659,72.328
10,,,22.45,.a
20,19,,,
100,,28,50.279,72.836
10,,25,35.247,38.319
150,,17,54.504,59.404
125,,20,53.23,50.877
50,13,,28.707,23.778
10,33,,23.777,29.613
300,,30,41.9,67.297
50,23,,21.625,15.339
35,,24,41.757,61.454
5,,,14.331,20.442
5,,,32.038,38.967
100,,16,45.85,53.419
150,23,,18.547,16.668
30,,20,34.905,40.837
15,,16,42.03,64.906
7,23,,12.511,19.14
100,,20,39.6,57.392
50,,,,
30,24,,,
35,,21,31.085,38.907
100,20,,46.367,38.233
,20,,14.604,19.47
20,20,,39.198,36.51
,25,,,
100,19,,32.349,34.336
100,19,,27.131,25.772
5,14,,22.086,21.038
100,18,,24.093,32.147
,,,,
15,24,,28.582,33.839
40,,20,31.475,57.658
20,,20,34.491,43.641
16,,27,43.902,35.718
100,,35,37.198,47.143
25,,,31.29,35.307
125,,20,41.184,44.041
100,18,,32.705,27.856
,,,18.081,24.142
25,10,,.e,.e
,,,20.464,27.883
200,19,,30.896,38.638
4,,,11.526,20.424
10,,21,42.201,55.492
30,16,,19.904,31.987
500,,16,39.616,57.203
,22,,17.377,20.289
100,,17,37.638,54.588
,25,,21.531,17.393
50,,21,37.639,61.372
25,25,,38.982,46.195
300,,18,47.816,56.473
24,21,,20.477,24.267
,,18,46.998,61.743
200,17,,25.321,24.853
100,16,,38.099,41.078
100,,23,55.447,65.449
45,,22,57.176,78.815
,15,,22.646,26.956
75,,19,54.568,76.116
60,17,,,
100,,23,48.881,60.602
150,20,,24.75,32.324
100,,24,51.396,71.621
100,21,,21.467,19.322
10,18,,.a,.a
200,10,,20.728,28.307
70,,,33.567,28.976
100,,21,39.225,60.655
30,20,,35.008,36.209
50,24,,25.021,31.669
20,25,,21.671,27.676
30,15,,33.288,29.881
10,20,,31.178,30.327
60,,,30.099,24.004
50,23,,21.707,33.988
100,,18,53.474,69.483
100,,23,58.837,50.81
150,,27,52.452,67.467
25,26,,17.681,20.319
20,,19,37.212,45.683
,,33,42.61,47.096
7,25,,,
100,,16,52.281,41.688
,,18,46.549,60.876
100,23,,35.505,36.981
100,21,,24.687,22.73
100,,17,46.097,71.609
50,,22,39.999,50.641
,,18,39.007,35.333
100,,26,46.004,63.291
300,,18,58.554,76.892
20,,28,32.156,31.862
,,,16.541,22.743
200,,20,43.092,74.968
,,,37.81,39.918
,,,24.27,33.488
300,,24,35.626,38.38
20,26,,22.73,27.076
0,,21,38.298,
200,14,,25.515,33.982
100,10,,7.793,11.499
200,20,,38.535,38.9
40,17,,20.512,28.591
100,,21,55.062,77.524
25,26,,25.285,31.468
30,,24,42.162,67.24
10,21,,,
60,27,,31.621,42.03
200,,20,37.228,69.4
100,25,,37.615,27.081
20,,19,58.182,67.757
175,15,,33.084,38.568
200,24,,36.132,43.777
50,,17,43.362,53.202
20,28,,22.756,28.549
30,16,,23.154,30.552
200,18,,47.158,48.36
,,23,49.165,50.358
150,,18,43.275,50.826
30,21,,13.285,13.79
200,15,,,
200,,20,43.44,56.324
150,10,,17.714,20.444
30,10,,32.728,57.37
30,,,20.74,24.492
8,,19,43.373,
12,19,,25.017,29.802
40,17,,21.28,15.346
,,,21.892,21.245
25,22,,24.049,22.853
100,19,,38.627,45.946
75,,17,49.273,72.146
200,,19,57.717,73.673
100,,,31.454,25.759
200,26,,53.782,63.595
100,26,,19.701,27.618
50,,34,46.61,76.928
100,20,,35.835,34.98
,,,30.37,37.732
20,17,,14.522,15.531
100,19,,37.605,33.607
10,14,,28.619,26.949
,26,,20.417,20.611
12,17,,26.555,36.517
500,,23,42.589,63.536
200,26,,37.652,40.742
,17,,19.866,26.032
100,21,,21.728,32.332
50,,25,36.079,38.16
1,,15,42.76,52.607
150,,24,45.098,77.894
100,,22,38.1,60.168
,,22,49.679,77.507
150,,24,45.142,51.623
150,,23,50.539,70.744
25,24,,26.354,34.312
,,,,
200,,,10.384,57.434
150,,,,
10,,,53.765,
200,30,,32.15,39.482
,,,24.138,24.234
100,25,,21.713,26.912
50,,,31.972,60.279
100,,22,53.233,59.178
,19,,12.617,25.333
50,,18,49.133,75.649
100,,17,37.529,60.955
40,,28,52.575,67.625
35,12,,31.827,41.041
,,28,32.562,47.125
500,,,35.35,60.995
70,25,,,
50,,,30.539,17.762
2,,18,48.921,
,19,,,
100,,,44.615,50.175
75,10,,,
100,21,,23.225,28.455
55,23,,33.482,50.381
15,,21,35.049,73.048
7,17,,25.691,27.492
,,,28.783,25.595
3,31,,15.908,13.258
75,,24,40.339,79.588
3,23,,16.3,.a
50,,,,
35,,16,44.653,49.437
100,,18,50.34,69.024
150,21,,24.793,29.308
20,22,,19.158,25.539
10,,20,39.025,35.434
100,,14,41.177,52.871
50,23,,25.633,34.258
50,,,37.67,37.392
65,,23,27.044,37.814
10,,22,48.362,60.984
150,,19,45.417,56.293
50,30,,,
100,,30,55.307,61.074
20,27,,23.382,18.683
400,,23,58.658,85.904
200,,28,55.836,73.19
20,24,,18.504,23.838
35,,,23.634,16.9
40,25,,19.243,14.968
30,21,,17.052,17.445
100,,18,44.285,62.615
50,,23,49.112,56.512
40,,28,57.42,64.544
,21,,20.357,22.471
,,,19.192,19.03
75,,,24.346,27.915
40,,19,56.46,71.435
100,,20,57.043,71.341
100,,22,52.231,63.516
150,,21,46.709,67.056
100,,16,44.016,68.744
,19,,36.016,51.023
150,,,58.314,80.029
300,,15,49.686,66.348
50,21,,34.483,39.097
,,19,50.22,48.052
30,,,22.837,
50,,20,39.155,73.624
100,14,,43.246,59.405
,,,37.562,45.35
60,18,,43.122,35.502
75,,20,57.521,80.497
200,,22,56.396,82.655
30,21,,21.886,26.459
100,,18,45.435,49.798
50,,21,45.558,61.539
10,,,,
150,18,,22.217,28.613
60,,21,47.696,52.868
20,,,55.158,69.201
2000,,,31.205,34.651
40,,,32.252,34.546
,17,,18.21,.a
100,,,25.427,28.425
100,14,,21.667,26.284
35,20,,22.157,30.687
,,,41.953,40.427
50,,22,51.115,78.317
0,,20,52.95,65.081
60,,22,43.577,53.525
30,,,,
,,,38.269,49.279
100,,25,51.915,58.579
30,,24,31.682,36.232
20,,,41.309,42.878
200,19,,25.361,24.475
20,25,,12.339,13.917
200,25,,39.834,48.428
20,12,,13.895,14.774
9,25,,21.076,24.349
,26,,23.209,34.575
20,,20,49.042,45.187
200,,22,56.492,73.335
50,,24,35.505,48.666
15,23,,43.079,33.168
300,,,,
50,,19,25.915,42.969
30,14,,15.627,24.653
,,21,40.705,48.136
,,27,41.784,65.351
200,20,,24.426,25.742
200,28,,32.903,36.997
50,22,,32.949,32.367
15,,22,32.957,59.563
,,,21.471,28.584
80,19,,22.758,28.924
8,,15,46.532,
55,,22,38.598,59.977
,,22,40.843,45.577
150,,21,53.969,60.129
50,24,,,
40,,20,46.808,75.371
,,,52.757,68.162
30,,,35.723,35.404
100,12,,23.519,21.664
100,12,,11.07,22.621
50,,15,53.807,66.284
100,,17,42.797,58.057
50,23,,26.093,31.494
,18,,19.552,14.515
30,20,,28.409,18.553
50,,34,47.694,58.876
20,,30,43.342,57.569
50,,,42.715,59.788
,,,25.872,23.477
60,26,,24.875,23.492
60,,26,50.26,68.951
100,18,,43.044,38.958
60,15,,15.246,23.258
50,18,,30.964,32.399
75,,,18.876,28.376
100,,24,56.442,70.921
125,,23,45.217,52.589
7,,21,42.757,47.321
,12,,45.631,46.301
100,28,,22.107,27.816
20,19,,35.579,43.617
10,17,,18.23,20.136
50,23,,28.235,40.116
30,,15,23.309,35.04
100,,23,49.893,50.093
30,20,,24.833,27.588
,19,,25.847,29.398
,,19,12.262,14.287
100,23,,22.346,28.637
100,,23,32.826,43.801
100,26,,25.564,32.043
25,25,,32.917,38.198
,16,,24.109,32.669
75,,25,43.502,74.688
60,,21,45.246,56.259
,,22,19.024,28.828
20,,18,23.261,49.024
,23,,17.544,.a
,,,27.183,43.114
,22,,24.596,30.333
40,,22,45.854,47.993
150,,,47.316,64.689
,,,15.775,25.737
30,22,,,
6,19,,13.325,.a
60,15,,33.613,26.031
75,29,,25.719,32.392
15,21,,31.72,42.157
50,15,,31.072,37.632
50,18,,29.842,34.813
300,,20,47.305,70.388
75,,21,55.986,58.62
100,,15,35.22,45.471
5,,20,32.543,49.87
5,25,,12.923,14.77
10,32,,34.722,36.065
120,10,,38.776,57.353
20,25,,15.549,14.679
150,25,,21.44,16.935
60,23,,36.706,28.816
70,16,,32.27,39.466
50,,16,49.046,50.736
50,23,,19.949,32.388
70,,20,43.137,69.014
500,,28,54.609,60.777
30,,,36.733,45.931
80,19,,20.936,25.957
5,26,,19.232,26.922
2,21,,25.734,30.444
,,,24.453,22.576
100,18,,20.097,26.376
60,,21,40.035,49.829
12,,,42.902,42.886
50,,21,34.214,44.539
40,,24,53.446,76.625
12,,,32.85,34.782
,22,,46.4,33.302
65,,26,40.09,73.376
12,33,,20.153,14.541
50,,17,48.173,65.845
30,27,,37.808,34.366
,,,20.289,22.43
400,,19,50.436,64.242
,,19,51.811,68.045
300,,23,30.535,42.093
100,,20,54.015,73.003
200,,20,56.517,73.844
60,,16,23.735,28.124
100,20,,21.755,26.123
75,24,,14.652,27.855
,,28,47.104,
100,20,,21.362,26.689
,,,18.971,21.509
200,,26,56.868,72.971
,27,,26.329,21.348
55,,17,51.102,65.109
40,,18,36.66,55.534
150,,21,49.669,66.103
50,,,47.815,57.434
360,,18,57.26,69.89
200,25,,28.415,40.858
50,16,,22.806,38.224
10,30,,41.701,32.546
200,,23,41.688,45.835
,,,35.198,65.19
200,19,,38.668,42.474
100,18,,30.575,22.665
100,19,,38.244,32.71
60,,12,30.732,68.513
20,17,,21.415,21.24
120,,,30.33,36.56
200,,24,46.203,57.221
100,,15,52.48,71.993
100,,17,48.186,78.523
10,17,,21.308,26.779
50,,,43.033,57.526
50,25,,31.615,37.248
50,14,,,
70,14,,27.126,24.829
150,,,,
200,20,,20.906,23.854
100,10,,38.294,46.647
200,,17,43.758,64.672
50,21,,22.894,42.391
,,,18.351,24.362
150,,12,44.248,80.519
30,,14,43.967,53.456
150,,24,47.074,66.174
200,,,51.408,69.184
35,25,,,
,16,,16.125,20.481
5,24,,23.718,24.805
200,13,,23.108,21.269
75,24,,32.264,35.735
60,14,,29.539,29.306
40,16,,27.015,29.027
50,18,,18.011,19.832
,27,,,
30,18,,24.396,26.955
100,24,,22.017,26.92
60,,19,58.066,50.946
4,,15,39.335,52.703
35,,,,
6,20,,12.14,22.682
50,,21,50.411,81.896
50,,23,45.829,47.578
50,22,,25.371,27.264
,,,16.178,25.917
50,30,,35.969,35.246
35,,20,48.594,69.947
40,26,,24.921,27.104
150,,,35.807,38.876
50,,25,37.718,50.297
100,,21,43.956,57.48
,,,19.289,33.034
100,,25,38.964,54.061
65,18,,18.12,25.295
10,24,,.e,16.911
100,23,,26.819,32.635
50,26,,20.405,33.856
,,28,45.467,71.695
500,,,,
100,,19,31.87,41.269
100,,23,57.459,64.921
200,24,,,
35,22,,36.246,39.834
150,22,,45.695,61.829
,,,,
,14,,21.937,21.009
8,,,37.246,33.607
50,,23,43.864,60.136
10,,19,38.516,43.079
200,21,,32.039,30.013
75,,,18.212,21.147
150,,15,47.48,44.114
6,23,,18.475,26.543
200,20,,16.699,22.697
200,10,,24.66,25.117
,19,,.a,.a
100,,19,37.802,50.969
60,,27,47.233,54.164
50,,12,48.214,58.9
12,27,,24.326,36.208
60,,25,38.864,55.728
30,,,44.009,60.478
300,,19,37.494,64.356
150,17,,40.277,39.897
2,22,,15.246,30.271
50,20,,41.978,39.28
200,,21,56.617,58.224
30,27,,21.695,24.201
50,,17,56.217,60.581
20,,20,34.035,52.16
10,26,,15.201,24.38
,,,24.214,31.414
200,,30,39.356,50.887
,,,,
25,19,,30.63,26.461
40,29,,30.269,31.982
12,,19,58.51,76.676
10,,28,20.152,29.023
100,,,31.306,33.974
50,19,,26.147,23.917
200,21,,13.592,24.642
20,20,,28.94,35.684
20,,18,36.221,
50,24,,15.915,30.171
200,,21,53.817,73.941
,18,,32.136,29.569
55,,26,50.786,76.03
175,,18,49.318,70.706
10,,21,45.174,57.679
50,21,,28.004,44.998
400,,20,52.416,68.353
,,25,34.832,36.883
100,,21,54.141,60.494
,,14,36.166,
40,18,,42.277,47.523
20,,12,23.376,31.943
150,,12,50.788,62.064
100,19,,37.067,39.226
,,,48.026,34.788
100,,13,55.597,73.904
100,,,,
,20,,29.103,27.413
100,,,25.353,23.586
50,,,47.718,57.568
100,,17,40.416,49.383
50,16,,15.196,15.894
150,,18,55.693,52.533
100,,21,42.504,37.359
15,18,,32.36,34.083
,,,51.912,78.047
40,21,,34.221,46.472
60,,18,36.795,55.001
50,,19,42.559,64.644
50,19,,26.294,30.233
