Gender,Height,Age,Grade,18Under,schsport,schperformance,HMAth,Heng,APClasses,Wkhrs,HWhrs,bksPl,bksSch,SocMedaccts,WkOuthrs,PostHS,MovTh,Phonehrs,AlienVisit,Car,Attsince9,Academy,Cafetwice,Breakfast,Portable,LangFl,WWattzone,Pets,AMPractice,TruancyCt,HouseApt,DineOut,FavMovie,FavMus,Txborn,Referral,FavSubj,LikeBlock
Male,72,15,10,2,Yes,No,94,89,1,0,20,0,0,10,3,College,1,1,No,No,Yes,STEM,No,Yes,Yes,Yes,No,0,Yes,N0,Apartment,1,Fast and furious,Pop,No,No,Robotics 1,Yes
Female,70,17,12,1,No,No,94,93,3,10,10,1,5,6,0,College,1,6,Yes,Yes,Yes,IB,No,Yes,Yes,No,No,5,No,N0,House,2,Heathers,Pop,Yes,No,History,No
Female,68,16,10,1,No,No,92,85,1,0,5,3,6,6,3,College,8,7,Yes,No,Yes,IB,No,No,Yes,No,No,2,No,N0,House,3,Mama Mia,Indie,Yes,No,History,No
Female,63,17,11,1,Yes,No,95,99,7,20,30,4,8,2,15,College,4,3,No,No,Yes,PA,No,No,Yes,No,Yes,3,No,N0,House,3,10 things I hate about you,Indie,No,No,English,Yes
Female,64,17,12,1,No,No,94,96,13,0,30,0,0,5,8,College,3,4,No,Yes,Yes,IB,No,No,Yes,No,No,2,No,N0,House,2,San Andreas,Pop,Yes,No,English,No
Male,71,17,12,3,Yes,Yes,97,94,3,0,1,0,0,4,10,College,3,4,No,Yes,No,STEM,No,No,Yes,No,Yes,2,Yes,N0,House,2,Step brothers,Trap,Yes,Yes,Social studies,No
Female,67,16,11,1,Yes,No,98,95,3,0,4,5,2,5,1,College,1,4,No,No,Yes,STEM,No,Yes,Yes,No,Yes,2,No,N0,House,2,Inglorious bastards,Rock/Metal,Yes,No,Math,No
Female,61,14,9,2,Yes,Yes,95,100,1,0,2,2,4,3,8,College,1,6,Yes,No,Yes,IB,No,Yes,Yes,No,Yes,5,Yes,Yes,House,3,Super bad,Rap/Hip Hop,Yes,No,English,No
Male,72,16,10,2,Yes,No,97,94,3,0,2,0,0,1,12,College,3,3,No,No,Yes,STEM,No,Yes,Yes,No,Yes,1,Yes,N0,House,3,Step brothers,Rap/Hip Hop,Yes,No,Math,No
Female,64,16,11,2,Yes,Yes,99,98,3,0,10,0,0,7,10,College,1,3,Yes,Yes,Yes,IB,No,Yes,Yes,Yes,No,1,Yes,N0,House,7,Pride and Prejudice,Indie,Yes,No,Math,Yes
