What type of surface is the workspace?,How many screens are there?,Is there a lamp?,Are there colored pencils and pens?,Are there books?,Are there binders?,What types of computers/devices are there?,How many computers/devices are there?,One word to Descibe it,Dominant Color,Number of items plugged in,Makes you feel
Cart,0,No,No,Yes,Yes,,0,small,blue,1,So organized!
Table,1,No,Yes,No,Yes,Chromebook,1,tablecloth,blue,1,I have too much stuff
Table,1,No,Yes,Yes,No,Chromebook,1,small,yellow,1,I don't like learning at home
Table,1,No,Yes,No,Yes,Chromebook,1,fun,white,1,My desk looks so inviting!
Desk Cart,1,Yes,Yes,No,Yes,Macbook,1,pretty,white,3,My desk is so pretty!
Desk,1,No,Yes,Yes,No,Chromebook,1,cluttered,white,1,I work well here.
Desk,1,Yes,Yes,No,No,iPad,1,simple,white,3,I really don't like working at home. It makes me sad.
Desk,1,No,No,No,No,PC,1,neat,white,1,I am very organized with my stuff
Desk,2,No,Yes,No,Yes,Chromebook and PC,2,organized,white,4,I feel happy when looking at what I have done.
Desk,2,No,No,Yes,No,Chromebook and PC,2,small,pink,2,I am accomplished.
Desk Cart,2,No,No,No,No,PC and iMac,2,small,blue,3,I like to work on my own at home.
Desk,2,Yes,Yes,No,No,Chromebook and iMac,1,clean,white,3,My desk is really nice.
Desk,1,No,Yes,Yes,No,Chromebook,1,pretty,pink,1,My desk shows who I am!
Cart,0,No,No,No,No,,0,small,green,1,I just put my stuff on the cart!
Desk,1,Yes,Yes,No,No,Chromebook,1,cluttered,white,1,So much stuff everywhere!
Table,1,No,No,No,No,Chromebook,1,simple,green,1,I feel overwhelmed.
Desk,1,No,No,No,No,Chromebook,1,simple,yellow,1,I feel sad without my school friends.
Desk,1,No,No,Yes,No,Chromebook,1,neat,blue,1,I love to work at home at my awesome desk!
Desk,1,No,Yes,No,No,Chromebook,1,neat,blue,1,My desk makes me really happy because I can organize
Table,1,No,Yes,Yes,No,Chromebook,1,cluttered,white,1,I just try and g4t my work done quickly!
