foot_length,armspan
25.4,169.5
28.1,187.1
24.2,159
26.5,178
23.1,152.5
27,181
24.6,161.8
25.5,170.8
26.4,177.5
24.1,158.8
27.9,186
23,151.5
25.8,173
24.5,161.2
28.2,188
24.2,159.2
26.5,178.2
23.1,152.8
27,180.9
24.6,161.5
25.5,171.1
26.4,177.1
24.1,158.6
27.9,186.4
23,151.8
23.8,157.2
22.9,150.8
27.5,183.5
24.8,162.8
26.3,176.9
25.2,166
25.9,173.8
24.4,160.5
25.3,168
27.6,184.2
24.7,162.5
26.7,179.8
23.7,156.5
25.4,169.8
23,151
27.5,183.1
24.8,162.4
26.3,176.5
25.2,166.3
25.9,173.4
24.4,160.1
25.3,168.4
27.6,184.5
24.7,162.2
26.7,179.5
26.1,175.8
25,164.5
23.3,154.1
25.7,172
24,158.4
23.5,155
26.6,178.9
27.3,182.5
23.9,157.8
22.8,150
26.2,176.4
24.9,163.5
28,186.5
23.8,157.5
25,164.2
23.3,154.4
25.7,172.4
24,158.1
23.5,155.3
26.6,179.2
27.3,182.8
23.9,157.4
22.8,150.3
26.2,176.8
24.9,163.8
24.5,161.1
26.8,180.2
27.2,181.9
23.6,155.6
27.8,185.2
24.3,160
25.1,165.2
23.2,153.3
26.9,180.6
25.6,171.4
23.4,154.5
27.1,181.5
24,158.5
26.1,175.5
26.8,179.9
27.2,182.1
23.6,155.9
27.8,185.6
24.3,160.3
25.1,165.6
23.2,153.6
26.9,180.9
25.6,171.8
23.4,154.9
