Team,Wins,Age,Runs,Hits,Doubles,Triples,HomeRuns,StolenBases,Walks,StrikeOuts,BattingAverage,OnBasePercentage,SluggingPercentage,OPS,SacrificeBunts,LeftOnBase
Arizona Diamondbacks,84,27.4,746,1359,274,44,166,166,540,1247,0.25,0.322,0.408,0.73,36,1091
Atlanta Braves,104,27.9,947,1543,293,23,307,132,538,1289,0.276,0.344,0.501,0.845,2,1062
Baltimore Orioles,101,27.3,807,1399,309,28,183,114,512,1370,0.255,0.321,0.421,0.742,21,1041
Boston Red Sox,78,28.6,772,1437,339,19,182,112,486,1372,0.258,0.324,0.424,0.748,11,1117
Chicago Cubs,83,28.4,819,1399,269,30,196,140,570,1391,0.254,0.33,0.421,0.751,15,1127
Chicago White Sox,61,27.8,641,1308,264,13,171,86,377,1424,0.238,0.291,0.384,0.675,16,1009
Cincinnati Reds,82,26.8,783,1371,268,37,198,190,556,1500,0.249,0.327,0.42,0.746,19,1107
Cleveland Guardians,76,26.6,662,1379,294,29,124,151,471,1142,0.25,0.313,0.381,0.695,13,1121
Colorado Rockies,59,28.1,721,1368,305,31,163,76,447,1543,0.249,0.31,0.405,0.715,11,1038
Detroit Tigers,78,27.4,661,1293,245,29,165,85,508,1473,0.236,0.305,0.382,0.687,13,1103
Houston Astros,90,28.8,827,1441,280,22,222,107,550,1241,0.259,0.331,0.437,0.768,14,1134
Kansas City Royals,56,26.3,676,1325,258,43,163,163,411,1396,0.244,0.303,0.398,0.7,14,1009
Los Angeles Angels,73,28.6,739,1346,248,26,231,72,518,1524,0.245,0.317,0.426,0.743,8,1102
Los Angeles Dodgers,100,30.9,906,1422,303,20,249,105,644,1359,0.257,0.34,0.455,0.795,5,1163
Miami Marlins,84,29.4,666,1423,258,23,166,86,430,1287,0.259,0.316,0.405,0.721,22,1097
Milwaukee Brewers,92,27.7,728,1291,257,16,165,129,591,1412,0.24,0.319,0.385,0.705,7,1075
Minnesota Twins,87,28.6,778,1335,264,24,233,86,594,1654,0.243,0.326,0.427,0.753,12,1138
New York Mets,75,28.9,717,1275,220,21,215,118,525,1331,0.238,0.316,0.407,0.723,19,1082
New York Yankees,82,28.5,673,1207,221,15,219,100,557,1427,0.227,0.304,0.397,0.701,9,1007
Oakland Athletics,50,27.1,585,1187,225,21,171,149,498,1496,0.223,0.298,0.37,0.669,28,1043
Philadelphia Phillies,90,28.4,796,1417,291,29,220,141,539,1481,0.256,0.327,0.438,0.765,13,1123
Pittsburgh Pirates,76,27.3,692,1293,287,31,159,117,556,1464,0.239,0.315,0.392,0.707,25,1111
San Diego Padres,82,28.4,752,1316,273,14,205,137,653,1311,0.244,0.329,0.413,0.742,22,1144
Seattle Mariners,88,27.8,758,1332,283,12,210,118,548,1603,0.242,0.321,0.413,0.734,4,1144
San Francisco Giants,79,28.4,674,1271,256,13,174,57,544,1492,0.235,0.312,0.383,0.695,17,1130
St. Louis Cardinals,71,27.5,719,1376,264,12,209,101,570,1326,0.25,0.326,0.416,0.742,13,1183
Tampa Bay Rays,99,26.8,860,1432,282,24,230,160,514,1420,0.26,0.331,0.445,0.776,6,1047
Texas Rangers,90,28.3,881,1470,326,18,233,79,599,1416,0.263,0.337,0.452,0.79,10,1164
Toronto Blue Jays,89,28.8,746,1423,292,19,188,99,550,1303,0.256,0.329,0.417,0.745,4,1170
Washington Nationals,71,26.8,700,1401,279,26,151,127,423,1149,0.254,0.314,0.396,0.709,20,1082
