opid,operator,atype,remarks,phase_of_flt,ac_mass,num_engs,date,time_of_day,state,height,speed,effect,sky,species,birds_seen,birds_struck
AAL,AMERICAN AIRLINES,MD-80,NO DAMAGE,Descent,4,2,9/30/1990 0:00,Night,IL,7000,250,NA,No Cloud,UNKNOWN BIRD - MEDIUM,NA,1
USA,US AIRWAYS,FK-28-4000,"2 BIRDS, NO DAMAGE.",Climb,4,2,11/29/1993 0:00,Day,MD,10,140,None,No Cloud,UNKNOWN BIRD - MEDIUM,10-Feb,10-Feb
AAL,AMERICAN AIRLINES,B-727-200,NA,Approach,4,3,8/13/1993 0:00,Day,TN,400,140,None,Some Cloud,UNKNOWN BIRD - SMALL,10-Feb,1
AAL,AMERICAN AIRLINES,MD-82,NA,Climb,4,2,10/7/1993 0:00,Day,VA,100,200,None,Overcast,UNKNOWN BIRD - SMALL,NA,1
AAL,AMERICAN AIRLINES,MD-82,NO DAMAGE,Climb,4,2,9/25/1993 0:00,Day,SC,50,170,None,Some Cloud,UNKNOWN BIRD - SMALL,10-Feb,1
GFT,GULFSTREAM INTL AIRLINES,BE-99,FLT 714.  TIME = 1951Z,Landing Roll,2,2,9/20/1993 0:00,Day,FL,0,40,None,Some Cloud,HAWKS,NA,1
NWA,NORTHWEST AIRLINES,DC-9,15 MI NE OF OMAHA.  NO DAMAGE,En Route,4,2,8/30/1993 0:00,Night,NE,4000,230,None,Some Cloud,UNKNOWN BIRD,NA,1
PHM,PETROLEUM HELICOPTERS,AEROS 350,"HIT A FLOCK, ASSUME 2-10.",Climb,2,1,2/14/1991 0:00,Day,NA,100,50,NA,No Cloud,GULLS,10-Feb,10-Feb
AAL,AMERICAN AIRLINES,B-727-200,NA,Approach,4,3,5/28/1992 0:00,Day,UT,200,130,None,No Cloud,UNKNOWN BIRD - MEDIUM,NA,1
MTR,METROFLIGHT,BA-31 JETSTR,NO DAMAGE REPTD. TIME = 0042Z,Approach,2,2,2/29/1992 0:00,Dusk,TX,3000,NA,None,NA,UNKNOWN BIRD,NA,1
AAL,AMERICAN AIRLINES,MD-80,NO DAMAGE,Approach,4,2,5/25/1992 0:00,Day,TN,200,150,None,Overcast,EUROPEAN STARLING,10-Feb,1
MTR,METROFLIGHT,BA-31 JETSTR,FLT 759 HIT BIRD OVER THRESHOLD OF RWY. FLT LANDED W/O INCIDENT.  NO REPTD DAMAGE. TIME = 1935Z.,Approach,2,2,8/19/1992 0:00,Day,AR,300,NA,None,NA,BLACKBIRDS,NA,1
AAL,AMERICAN AIRLINES,A-300,NA,Climb,4,2,7/30/1993 0:00,Day,FL,300,NA,NA,Overcast,UNKNOWN BIRD,NA,1
AAL,AMERICAN AIRLINES,MD-82,NA,Take-off run,4,2,8/2/1993 0:00,Day,FL,0,125,None,Some Cloud,UNKNOWN BIRD - SMALL,NA,1
AAL,AMERICAN AIRLINES,B-727,FOUND BLOOD & FEATHERS ON POST FLT INSPN 5' FROM L WING ROOT ON  LE. NO DAMAGE.,NA,4,3,5/10/1992 0:00,Night,GA,NA,NA,None,No Cloud,UNKNOWN BIRD - SMALL,NA,1
USA,US AIRWAYS,B-737-200,NO DAMAGE,Climb,4,2,5/11/1992 0:00,Night,NY,800,160,None,No Cloud,UNKNOWN BIRD - SMALL,NA,1
VGA,AIR VEGAS,C-402,"BIRD STRUCK BASE OF WINDSHIELD ON PILOT SIDE.  WINDSHLD BROKE  & BIRD HIT TOP OF INSTRUMENT PANEL.  ALTITUDE INDICATOR,  ALTIMETER, VSI AND RADIOS WERE DAMAGED.  NO INJURIES.",En Route,2,2,6/13/1990 0:00,Day,NA,4500,155,Precautionary Landing,No Cloud,HAWKS,NA,1
BUS,BUSINESS,PA-24 COMANCHE,"JUST AFTER GEAR DOWN SOMETHING STRUCK THE PASSENGER SIDE OF  A/C. SINCE IT WAS DARK, WE LANDED AND THEN WITH A FLASH LIGHT  COULD SEE THAT A BIRD HAD STRUCK THE RIGHT FRONT OF FUSELAGE -  TEARING BOTH AIR VENTS OFF AND DAMAGING THE DOOR.",Approach,1,1,8/5/1990 0:00,Night,ID,1000,175,None,No Cloud,DUCKS,NA,1
BUS,BUSINESS,DA-50 FALCON,DAMAGE UNKNOWN -- PILOT ADVISED TOWER AFTER THE INCIDENT.,Take-off run,3,3,5/7/1991 0:00,Dusk,NJ,0,NA,None,Some Cloud,TURKEY VULTURE,NA,1
MRK,MARKAIR,B-737-200,"GULL INGESTED IN RT ENG. COMPRESSOR STALLED ONCE, LANDED A/C &  SECURED ENG DURING ROLL OUT. NOTED FUEL FLOW FLUCTUATION AFTER  THE STRIKE. INSPN FOUND AT LEAST 7 DAMAGED FAN BLADES. (DATA  ENTRY NOTE: DATE OF STRIKE REPTD AS 3 AND 4TH)",Approach,4,2,8/3/1990 0:00,Day,AK,500,140,Other,No Cloud,GULLS,NA,1
UNK,UNKNOWN,BE-58  BARON,A/C DEPTD AFTER REPORTING BIRD STRIKE.  DID NOT VOLUNTEER ANY ADDITIONAL INFORMATION.,Climb,2,2,1/21/1991 0:00,Night,LA,200,NA,None,Some Cloud,UNKNOWN BIRD,NA,1
ABX,ABX AIR (was AIRBORNE EXPRESS),DC-9-30,STRIKE JUST ABOVE F/O'S WINDOW. INSPCTN FOUND NO DAMAGE.,Landing Roll,4,2,7/30/1993 0:00,Night,MS,0,NA,None,NA,UNKNOWN BIRD,NA,1
AAL,AMERICAN AIRLINES,MD-82,REMARKS ON COMPANY PAPERWORK INDICATED BIRDS IN VICINITY.   NO DAMAGE.,Take-off run,4,2,7/12/1991 0:00,Dawn,VA,0,90,None,Some Cloud,UNKNOWN BIRD - SMALL,NA,1
AAL,AMERICAN AIRLINES,MD-80,JUST A DIRTY WINDSHLD. NO DAMAGE.,Descent,4,2,5/7/1990 0:00,Day,TX,5500,240,NA,No Cloud,UNKNOWN BIRD - MEDIUM,NA,1
DAL,DELTA AIR LINES,B-767,FLT 1424. DAMAGE TO A/C NOT REPTD.,Landing Roll,4,2,7/22/1994 0:00,Day,UT,0,NA,None,NA,UNKNOWN BIRD,NA,1
GFT,GULFSTREAM INTL AIRLINES,BE-99,FLT 408.  UNKNOWN AS TO WHAT PART STRUCK.,Landing Roll,2,2,7/22/1994 0:00,Day,FL,0,NA,None,Some Cloud,UNKNOWN BIRD - SMALL,NA,10-Feb
CRO,CROWN AIRWAYS,SHORTS 330,NA,Take-off run,3,2,10/20/1993 0:00,Day,PA,0,90,None,Some Cloud,MOURNING DOVE,10-Feb,10-Feb
PVT,PRIVATELY OWNED,PA-32,"NO DAMAGE, JUST BLOODIED WING.",Approach,1,1,7/12/1990 0:00,Day,CA,20,85,NA,NA,ROCK PIGEON,NA,1
UAL,UNITED AIRLINES,B-727-200,"PILOT SAID THERE WAS NO DAMAGE, BIRDS HIT UNDER THE FUSELAGE A&  A/C VENT. FOG.",Climb,4,3,5/12/1990 0:00,Day,NE,35,140,None,Overcast,BLACKBIRDS,NA,11-100
AAL,AMERICAN AIRLINES,B-727,NO DAMAGE NOTED BY FLT. CREW.  BIRD STRIKE NOTED IN A/C LOG BOOK.  SPARROW OR ROBIN.,Approach,4,3,5/13/1990 0:00,Day,TN,300,140,NA,Some Cloud,UNKNOWN BIRD - SMALL,NA,1
UAL,UNITED AIRLINES,B-737-500,MX INSPECTED. NO DAMAGE. HIT CAPT'S WINDSHLD.,Take-off run,4,2,7/13/1996 0:00,NA,CA,0,NA,NA,NA,UNKNOWN BIRD,NA,1
AAL,AMERICAN AIRLINES,MD-82,"FLT 373,ABTD T/O DUE TO BIRD STRIKE (HAWK WITH A RABBIT, NO  SURVIVORS), & RETD TO THE GATE. NO RPTD DMG.",Take-off run,4,2,11/30/1992 0:00,Day,TX,0,NA,Aborted Take-off,No Cloud,RED-TAILED HAWK,NA,1
