Gender,Education,Region,Employment,Satisfaction
Non-binary,High School,Northeast,Self-employed,Satisfied
Male,Associate's,Northeast,Retired,Very Satisfied
Non-binary,Master's,Northeast,Full-time,Very Satisfied
Male,Associate's,West,Retired,Very Satisfied
Non-binary,Associate's,West,Unemployed,Satisfied
Female,Doctorate,Midwest,Full-time,Satisfied
Non-binary,Master's,Midwest,Self-employed,Satisfied
Male,Bachelor's,Northeast,Full-time,Dissatisfied
Male,Bachelor's,Midwest,Retired,Neutral
Male,Master's,West,Full-time,Dissatisfied
Male,Doctorate,Midwest,Retired,Neutral
Non-binary,Associate's,Northeast,Full-time,Satisfied
Female,High School,Southeast,Full-time,Dissatisfied
Female,Master's,Midwest,Part-time,Neutral
Female,Associate's,Midwest,Full-time,Very Dissatisfied
Non-binary,Associate's,West,Part-time,Satisfied
Female,Master's,Midwest,Retired,Satisfied
Non-binary,Bachelor's,Northeast,Part-time,Very Satisfied
Female,Master's,Midwest,Full-time,Satisfied
Non-binary,Bachelor's,Southeast,Unemployed,Dissatisfied
Non-binary,Master's,Southeast,Self-employed,Satisfied
Male,Doctorate,West,Self-employed,Very Dissatisfied
Female,Doctorate,Southwest,Self-employed,Satisfied
Male,Doctorate,Southwest,Full-time,Very Satisfied
Male,Associate's,Southeast,Unemployed,Very Dissatisfied
Male,Master's,Southwest,Retired,Dissatisfied
Non-binary,Bachelor's,West,Full-time,Very Satisfied
Non-binary,Doctorate,Midwest,Self-employed,Very Satisfied
Female,Master's,Southeast,Unemployed,Very Satisfied
Non-binary,Bachelor's,West,Part-time,Very Dissatisfied
Male,Bachelor's,West,Retired,Satisfied
Male,Bachelor's,Southeast,Retired,Very Dissatisfied
Male,Doctorate,Midwest,Unemployed,Very Satisfied
Male,Bachelor's,Midwest,Part-time,Very Satisfied
Male,Doctorate,Northeast,Full-time,Dissatisfied
Male,Doctorate,Southeast,Part-time,Dissatisfied
Non-binary,Associate's,Midwest,Retired,Very Dissatisfied
Female,Associate's,West,Part-time,Neutral
Female,Bachelor's,Southwest,Retired,Dissatisfied
Male,Associate's,Southeast,Full-time,Neutral
Male,Doctorate,West,Part-time,Very Dissatisfied
Male,High School,Northeast,Full-time,Satisfied
Male,High School,Midwest,Full-time,Very Dissatisfied
Male,Bachelor's,Southwest,Part-time,Very Dissatisfied
Male,Doctorate,West,Unemployed,Satisfied
Female,Master's,Southeast,Full-time,Very Satisfied
Non-binary,Master's,Midwest,Unemployed,Dissatisfied
Female,High School,Northeast,Full-time,Dissatisfied
Non-binary,Bachelor's,Northeast,Part-time,Satisfied
Male,Doctorate,Southwest,Part-time,Dissatisfied
Male,Bachelor's,Southwest,Part-time,Very Satisfied
Female,Doctorate,Northeast,Full-time,Very Dissatisfied
Male,High School,Southeast,Part-time,Dissatisfied
Female,Master's,Southeast,Unemployed,Very Satisfied
Male,Master's,Northeast,Unemployed,Neutral
Female,Bachelor's,Southwest,Retired,Dissatisfied
Male,Associate's,Midwest,Part-time,Very Satisfied
Non-binary,Doctorate,Northeast,Self-employed,Very Satisfied
Male,Doctorate,Southwest,Retired,Very Dissatisfied
Male,High School,West,Full-time,Satisfied
Male,Doctorate,Northeast,Part-time,Dissatisfied
Male,Doctorate,Southeast,Retired,Very Dissatisfied
Male,Doctorate,Northeast,Unemployed,Very Dissatisfied
Non-binary,Doctorate,Midwest,Self-employed,Satisfied
Non-binary,Bachelor's,Southeast,Self-employed,Dissatisfied
Male,Bachelor's,Southwest,Self-employed,Very Satisfied
Male,Master's,West,Retired,Very Satisfied
Male,Doctorate,Southeast,Retired,Neutral
Male,Bachelor's,Northeast,Part-time,Neutral
Female,Associate's,Southwest,Retired,Neutral
Non-binary,Doctorate,Northeast,Retired,Neutral
Non-binary,High School,Southeast,Self-employed,Very Satisfied
Male,Doctorate,Southeast,Self-employed,Neutral
Non-binary,Associate's,Midwest,Part-time,Neutral
Non-binary,Master's,Midwest,Full-time,Very Satisfied
Non-binary,Master's,Midwest,Full-time,Very Satisfied
Female,Associate's,Midwest,Part-time,Dissatisfied
Non-binary,Master's,West,Full-time,Very Satisfied
Male,Associate's,West,Full-time,Neutral
Non-binary,Doctorate,Southeast,Unemployed,Satisfied
Male,Bachelor's,Midwest,Full-time,Neutral
Male,Associate's,Northeast,Self-employed,Very Dissatisfied
Female,Doctorate,Southeast,Part-time,Satisfied
Male,Master's,Northeast,Part-time,Neutral
Female,Associate's,Midwest,Part-time,Very Satisfied
Female,High School,Southwest,Part-time,Satisfied
Female,Bachelor's,Midwest,Part-time,Satisfied
Male,Associate's,Southwest,Self-employed,Neutral
Male,Bachelor's,Midwest,Retired,Dissatisfied
Non-binary,Doctorate,Midwest,Full-time,Very Satisfied
Female,Associate's,West,Self-employed,Very Satisfied
Male,Doctorate,Southwest,Self-employed,Neutral
Female,Doctorate,West,Full-time,Dissatisfied
Non-binary,Associate's,Midwest,Full-time,Dissatisfied
Male,Doctorate,West,Part-time,Neutral
Female,High School,Midwest,Retired,Neutral
Non-binary,High School,Midwest,Retired,Neutral
Non-binary,Master's,Midwest,Unemployed,Neutral
Non-binary,Associate's,Southeast,Unemployed,Dissatisfied
Non-binary,Associate's,West,Retired,Neutral
