ID,College Year,Student Loans,In/Out of State,STEM Major,Lives in Dorm,Foreign Student
1,Junior,Yes,In-State,Yes,No,No
2,Graduate,Yes,In-State,Yes,Yes,No
3,Freshman,Yes,In-State,No,Yes,No
4,Senior,Yes,Out-of-State,No,Yes,No
5,Graduate,Yes,In-State,Yes,No,No
6,Senior,No,In-State,No,Yes,No
7,Senior,Yes,Out-of-State,No,No,Yes
8,Freshman,Yes,In-State,Yes,Yes,No
9,Junior,Yes,In-State,Yes,Yes,No
10,Junior,Yes,In-State,No,Yes,No
11,Graduate,Yes,In-State,No,No,No
12,Freshman,Yes,In-State,Yes,Yes,No
13,Graduate,Yes,In-State,Yes,No,No
14,Sophomore,Yes,In-State,Yes,No,No
15,Sophomore,Yes,Out-of-State,No,Yes,Yes
16,Freshman,Yes,Out-of-State,Yes,Yes,No
17,Graduate,Yes,Out-of-State,No,Yes,No
18,Senior,Yes,In-State,No,Yes,No
19,Sophomore,No,Out-of-State,Yes,Yes,No
20,Graduate,No,In-State,No,No,No
21,Senior,Yes,Out-of-State,No,Yes,No
22,Freshman,No,Out-of-State,No,Yes,Yes
23,Graduate,No,In-State,No,Yes,No
24,Senior,Yes,In-State,No,Yes,No
25,Sophomore,Yes,In-State,No,Yes,No
26,Graduate,Yes,In-State,No,Yes,No
27,Sophomore,Yes,In-State,Yes,Yes,No
28,Freshman,No,Out-of-State,Yes,Yes,No
29,Freshman,Yes,Out-of-State,No,Yes,No
30,Senior,Yes,In-State,Yes,Yes,No
31,Senior,No,Out-of-State,Yes,Yes,No
32,Senior,Yes,In-State,Yes,Yes,No
33,Freshman,No,In-State,No,No,Yes
34,Graduate,No,Out-of-State,No,No,No
35,Junior,Yes,In-State,Yes,Yes,No
36,Sophomore,No,In-State,Yes,No,No
37,Junior,No,In-State,Yes,No,No
38,Junior,No,In-State,No,Yes,No
39,Freshman,No,In-State,Yes,No,No
40,Freshman,Yes,Out-of-State,Yes,No,No
41,Sophomore,Yes,In-State,No,Yes,No
42,Freshman,Yes,In-State,Yes,Yes,No
43,Freshman,Yes,Out-of-State,No,Yes,No
44,Sophomore,No,Out-of-State,No,Yes,No
45,Senior,No,In-State,No,No,Yes
46,Senior,Yes,In-State,No,Yes,Yes
47,Freshman,Yes,In-State,No,No,No
48,Junior,Yes,In-State,No,No,Yes
49,Sophomore,Yes,In-State,No,No,No
50,Senior,Yes,In-State,Yes,Yes,No
51,Graduate,Yes,Out-of-State,No,Yes,No
52,Sophomore,No,Out-of-State,No,No,No
53,Freshman,Yes,Out-of-State,No,Yes,No
54,Freshman,No,Out-of-State,No,No,No
55,Freshman,No,In-State,No,No,No
56,Senior,Yes,Out-of-State,Yes,No,No
57,Freshman,No,In-State,Yes,No,No
58,Freshman,Yes,In-State,No,No,No
59,Junior,Yes,Out-of-State,No,No,Yes
60,Graduate,Yes,Out-of-State,Yes,Yes,No
61,Senior,Yes,In-State,No,Yes,No
62,Sophomore,No,In-State,No,Yes,No
63,Senior,No,In-State,Yes,No,No
64,Sophomore,No,Out-of-State,Yes,Yes,No
65,Sophomore,Yes,In-State,Yes,No,No
66,Graduate,Yes,In-State,No,Yes,No
67,Sophomore,Yes,In-State,No,Yes,No
68,Junior,No,Out-of-State,Yes,Yes,No
69,Junior,Yes,Out-of-State,No,No,No
70,Freshman,Yes,In-State,No,No,Yes
71,Sophomore,Yes,In-State,No,Yes,No
72,Junior,Yes,Out-of-State,No,Yes,No
73,Freshman,No,In-State,Yes,Yes,No
74,Sophomore,No,In-State,No,No,No
75,Graduate,Yes,Out-of-State,No,No,No
76,Graduate,No,In-State,Yes,Yes,No
77,Senior,Yes,In-State,Yes,Yes,No
78,Sophomore,Yes,In-State,Yes,Yes,No
79,Senior,Yes,In-State,No,Yes,No
80,Sophomore,No,In-State,No,No,No
