ID,Grade,Loan,Resident,STEM,Dorm,Foreign,GPA,HomeD,JobHrs,Books
1,Junior,Yes,In-State,Yes,No,No,3.27,611,27.5,331.25
2,Graduate,Yes,In-State,Yes,Yes,No,2.99,424,4.5,384.71
3,Freshman,Yes,In-State,No,Yes,No,3.34,288,25.3,576.02
4,Senior,Yes,Out-of-State,No,Yes,No,3.74,25,16.1,382.20
5,Graduate,Yes,In-State,Yes,No,No,2.94,49,0,541.84
6,Senior,No,In-State,No,Yes,No,2.94,641,0,286.34
7,Senior,Yes,Out-of-State,No,No,Yes,3.76,261,17.6,526.67
8,Freshman,Yes,In-State,Yes,Yes,No,3.4,5,11.2,634.40
9,Junior,Yes,In-State,Yes,Yes,No,2.84,30,16.6,108.89
10,Junior,Yes,In-State,No,Yes,No,3.29,305,12.9,340.10
11,Graduate,Yes,In-State,No,No,No,2.84,5,0,505.22
12,Freshman,Yes,In-State,Yes,Yes,No,2.84,49,0,403.80
13,Graduate,Yes,In-State,Yes,No,No,3.16,223,28.7,488.05
14,Sophomore,Yes,In-State,Yes,No,No,2.19,330,6.1,332.18
15,Sophomore,Yes,Out-of-State,No,Yes,Yes,2.27,296,33.1,424.36
16,Freshman,Yes,Out-of-State,Yes,Yes,No,2.8,71,0.4,408.76
17,Graduate,Yes,Out-of-State,No,Yes,No,2.59,349,14.8,574.51
18,Senior,Yes,In-State,No,Yes,No,3.19,76,20.7,473.77
19,Sophomore,No,Out-of-State,Yes,Yes,No,2.64,110,18.2,468.09
20,Graduate,No,In-State,No,No,No,2.41,384,11,363.76
21,Senior,Yes,Out-of-State,No,Yes,No,3.71,294,14.3,392.91
22,Freshman,No,Out-of-State,No,Yes,Yes,2.95,530,12.1,377.27
23,Graduate,No,In-State,No,Yes,No,3.08,300,11.3,488.68
24,Senior,Yes,In-State,No,Yes,No,2.41,235,22.8,362.57
25,Sophomore,Yes,In-State,No,Yes,No,2.81,28,0,466.97
26,Graduate,Yes,In-State,No,Yes,No,3.1,128,10.5,707.80
27,Sophomore,Yes,In-State,Yes,Yes,No,2.53,86,23.2,534.15
28,Freshman,No,Out-of-State,Yes,Yes,No,3.22,78,18.5,399.22
29,Freshman,Yes,Out-of-State,No,Yes,No,2.78,1011,22.5,584.56
30,Senior,Yes,In-State,Yes,Yes,No,2.92,140,21,379.55
31,Senior,No,Out-of-State,Yes,Yes,No,2.78,623,9.4,163.44
32,Senior,Yes,In-State,Yes,Yes,No,3.88,279,11.5,330.35
33,Freshman,No,In-State,No,No,Yes,3.04,443,22,193.00
34,Graduate,No,Out-of-State,No,No,No,2.57,196,20.9,376.40
35,Junior,Yes,In-State,Yes,Yes,No,3.42,241,0,449.99
36,Sophomore,No,In-State,Yes,No,No,2.5,190,0,637.94
37,Junior,No,In-State,Yes,No,No,3.14,61,0,481.70
38,Junior,No,In-State,No,Yes,No,2.17,359,0,381.62
