SUSPECTED_CRIME_DESCRIPTION,SUSPECT_ARRESTED_FLAG,OFFICER_IN_UNIFORM_FLAG,CONSENT_GIVEN_FLG,WEAPON_FOUND_FLAG,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,STOP_LOCATION_BORO_NAME,STOP_WAS_INITIATED,MONTH2
CPW,Y,Y,N,Y,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,January
CPW,N,Y,N,Y,MALE,BLACK,BROOKLYN,Based on Self Initiated,January
GRAND LARCENY,N,Y,N,N,MALE,WHITE HISPANIC,BROOKLYN,Based on Radio Run,January
GRAND LARCENY,N,Y,N,N,MALE,WHITE HISPANIC,BROOKLYN,Based on Radio Run,January
GRAND LARCENY,N,Y,N,N,MALE,WHITE HISPANIC,BROOKLYN,Based on Radio Run,January
GRAND LARCENY,N,Y,N,N,MALE,WHITE HISPANIC,BROOKLYN,Based on Radio Run,January
CPW,N,Y,N,Y,MALE,BLACK,BRONX,Based on Self Initiated,January
MENACING,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Radio Run,January
CPW,Y,Y,N,Y,MALE,BLACK HISPANIC,BRONX,Based on Self Initiated,January
OTHER,Y,Y,Y,N,MALE,BLACK,BROOKLYN,Based on Radio Run,January
BURGLARY,N,Y,N,N,MALE,WHITE HISPANIC,BROOKLYN,Based on Radio Run,January
BURGLARY,N,Y,N,N,MALE,WHITE HISPANIC,BROOKLYN,Based on Radio Run,January
BURGLARY,N,Y,N,N,MALE,WHITE,BROOKLYN,Based on Radio Run,January
BURGLARY,N,Y,N,N,MALE,WHITE,BROOKLYN,Based on Radio Run,January
BURGLARY,N,Y,N,N,MALE,WHITE,BROOKLYN,Based on Radio Run,January
CPW,Y,Y,N,Y,MALE,BLACK,MANHATTAN,Based on Radio Run,January
CPW,N,Y,N,Y,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,(null),N,MALE,BLACK,BRONX,Based on Radio Run,January
CPW,N,Y,N,Y,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,(null),N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,Y,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,January
OTHER,N,Y,N,N,MALE,BLACK HISPANIC,BRONX,Based on Self Initiated,January
OTHER,N,Y,N,N,MALE,BLACK HISPANIC,BRONX,Based on Self Initiated,January
CPW,Y,Y,N,Y,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,Y,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK HISPANIC,BRONX,Based on Self Initiated,January
ASSAULT,N,Y,N,N,MALE,WHITE HISPANIC,QUEENS,Based on Radio Run,January
PETIT LARCENY,Y,Y,N,N,MALE,WHITE HISPANIC,MANHATTAN,Based on Self Initiated,January
ROBBERY,Y,Y,N,N,MALE,WHITE HISPANIC,MANHATTAN,Based on Radio Run,January
ROBBERY,Y,Y,N,N,MALE,(null),MANHATTAN,Based on Radio Run,January
ROBBERY,Y,Y,N,N,MALE,BLACK HISPANIC,MANHATTAN,Based on Radio Run,January
CPW,N,Y,(null),Y,(null),BLACK,BRONX,Based on Self Initiated,January
PETIT LARCENY,Y,Y,N,N,MALE,BLACK,MANHATTAN,Based on Radio Run,January
CPW,N,Y,(null),N,MALE,BLACK,BRONX,Based on Radio Run,January
CPW,N,Y,N,N,(null),BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,(null),BRONX,Based on Self Initiated,January
CPW,Y,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,January
OTHER,N,Y,N,N,MALE,WHITE,BRONX,Based on C/W on Scene,January
MURDER,N,Y,N,N,MALE,BLACK HISPANIC,BRONX,Based on Radio Run,January
CPW,N,Y,N,N,MALE,BLACK HISPANIC,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,January
CPW,N,Y,(null),N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,(null),Y,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,January
ROBBERY,N,Y,N,N,(null),(null),BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,January
GRAND LARCENY AUTO,Y,Y,N,N,MALE,BLACK,QUEENS,Based on Radio Run,January
CPW,N,Y,Y,N,MALE,BLACK,QUEENS,Based on Radio Run,January
CPW,N,Y,N,N,MALE,WHITE HISPANIC,QUEENS,Based on Radio Run,January
CPW,N,Y,N,N,MALE,WHITE HISPANIC,QUEENS,Based on Radio Run,January
CPW,Y,Y,N,Y,MALE,BLACK,MANHATTAN,Based on Self Initiated,January
CPW,N,Y,(null),N,MALE,WHITE,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK HISPANIC,BRONX,Based on Self Initiated,January
CPW,Y,Y,N,Y,MALE,BLACK HISPANIC,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,(null),(null),BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BROOKLYN,Based on Self Initiated,January
CPW,Y,Y,N,Y,MALE,BLACK,BROOKLYN,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,WHITE HISPANIC,QUEENS,Based on Radio Run,January
ASSAULT,Y,Y,N,N,MALE,WHITE HISPANIC,QUEENS,Based on C/W on Scene,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
PETIT LARCENY,Y,Y,N,N,MALE,BLACK HISPANIC,MANHATTAN,Based on C/W on Scene,January
ROBBERY,Y,Y,N,Y,FEMALE,BLACK,MANHATTAN,Based on Radio Run,January
OTHER,N,Y,N,N,MALE,MIDDLE EASTERN/SOUTHWEST ASIAN,MANHATTAN,Based on Radio Run,January
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,Y,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK HISPANIC,BRONX,Based on Self Initiated,January
CPW,N,Y,(null),Y,(null),(null),BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Radio Run,January
CPW,N,Y,N,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,Y,MALE,BLACK,BROOKLYN,Based on Self Initiated,January
ASSAULT,Y,Y,(null),N,MALE,BLACK,QUEENS,Based on Radio Run,January
CPW,N,Y,N,N,MALE,BLACK,QUEENS,Based on Self Initiated,January
MENACING,N,Y,Y,N,MALE,BLACK,STATEN ISLAND,Based on Self Initiated,January
CPW,N,Y,(null),N,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,N,Y,MALE,BLACK HISPANIC,BRONX,Based on Self Initiated,January
CPW,N,Y,N,Y,MALE,BLACK,BRONX,Based on Self Initiated,January
CPW,N,Y,Y,N,MALE,WHITE HISPANIC,BRONX,Based on Self Initiated,January
ASSAULT,N,Y,N,N,MALE,BLACK HISPANIC,BRONX,Based on Self Initiated,January
