height_cm,weight_kg,armspan_cm,footlength_cm,head_circumference_cm,femur_length_cm
175,53.8,176.8,24.3,52.8,50.8
168.6,68.7,171.4,24.9,54.8,53.7
176.5,69.9,181.9,27.5,56,43.8
185.2,63,190.5,27.2,56.1,49.7
167.7,72.6,160.8,26,55.1,46
167.7,81.1,163,26.2,57.2,46.5
185.8,103.3,188.4,28.6,53.9,46.2
177.7,77.6,180.3,24.8,55.7,45.4
165.3,78.9,167.9,27.1,56.2,48.1
175.4,73.9,194.7,25.6,57,45.5
165.4,46.2,168.3,25.6,57.4,48.8
165.3,74.6,171,28.2,53.8,47.8
172.4,75.9,177.2,27.7,52.9,47.3
150.9,111.9,154.2,27.6,58.6,45.3
152.8,72.1,151.2,28.6,56.7,46.3
164.4,79.5,168.2,26,54.5,50.3
159.9,74.5,156,27.4,59.1,49.5
173.1,57.5,171.9,25.4,56.2,45.1
160.9,92.1,158.5,26.6,58.4,48.3
155.9,86.3,156.3,25.7,56.1,50.3
184.7,86.9,196.3,26.2,60.1,43
167.7,61.4,158.4,27.2,59.5,49.6
170.7,96,174.1,24.4,55.5,46
155.8,54,147.7,30.2,57.9,49.7
164.6,83.8,162.2,24,57.3,45.7
171.1,107.9,176.5,23.6,58.7,42.6
158.5,60.1,158.8,28.3,54.1,43.1
173.8,66.5,168.4,27.6,57.4,48.1
164,76.5,160.4,27.2,58.1,48.8
167.1,67.4,170.5,27.3,52.5,45.3
164,51.7,160.3,26,53.6,49.9
188.5,76,189.6,24.2,51.9,43
169.9,59.1,170.1,26.2,55.5,47.8
159.4,82.1,156.1,24.6,57.4,44.4
178.2,61.2,188.9,28,59,46
157.8,98.2,161,25.7,56.1,48.1
172.1,63.3,162,24.3,59.3,45.4
150.4,70.2,151.3,25.4,53.2,46.8
156.7,87.2,153.4,26.8,52.6,51
172,56.5,176.3,24.9,55.9,46.3
177.4,78.4,173.4,24.4,56.8,50.5
171.7,94.6,171.1,26.5,55.9,44.6
168.8,50.9,171.3,26.5,51.9,49.6
167,77.8,171.3,25,55.8,52.3
155.2,78.9,149.2,25.1,53.4,40.6
162.8,86.7,161.1,26.5,57.3,45.6
165.4,56.4,163,23.1,56.7,49.7
180.6,55.2,177.3,23.2,54.1,47.4
173.4,82.8,182.2,24.6,55,49.1
152.4,79.5,154.4,25.6,53.9,46.2
173.2,78.8,166.9,26.6,55.9,48.3
166.1,80.2,170.7,29,57.9,47.5
163.2,64.8,173.8,27.7,54,51.5
176.1,78.5,181.3,25.7,57,48.8
180.3,79.4,172.7,26,54.9,49
179.3,64.3,176.9,24,54.4,46.8
161.6,103,167.9,26,55.8,46.5
166.9,82.1,163.4,25.4,53.9,46.7
173.3,57.1,175.5,26.6,54.9,49.2
179.8,84.8,183.7,24.3,53.6,46.7
165.2,60.4,160.6,27,59.9,48.9
168.1,86.8,167.8,29.1,56.1,54.2
158.9,92.4,142.7,25.8,54.6,50.6
158,62.7,152.9,26.8,56.4,47
178.1,89.5,176.8,27.4,55.8,51.6
183.6,81.2,177.4,25.2,55.6,46.8
169.3,87.3,177.5,26.4,57.2,41.9
180,103.5,172.8,26,57.5,45
173.6,71.3,171.4,26.2,54.9,42.4
163.5,63.7,164.2,24.5,54.8,46.9
173.6,61.7,180.8,26,55.4,48.1
185.4,62.8,178.2,27,51.4,53
169.6,73.8,175.4,28.9,53,49
185.6,80.1,185.7,27.9,58.7,47.3
143.8,79.2,138.9,30.3,59.3,50.5
178.2,87.4,180.5,24.5,55.5,41.4
170.9,75.2,171.9,27.7,57.2,48.7
167,96.8,164,26.4,56.6,50.3
170.9,71,171.2,30.4,62.2,43.6
150.1,115.8,148.2,24.4,58.2,51.4
167.8,84.4,168.4,24.3,55.7,49
173.6,62.1,176.9,24.8,54.1,46.8
184.8,58.9,192.7,21.8,52.8,49.9
164.8,82.2,158.6,24.9,56.4,54.8
161.9,71.6,172.6,24.5,54.5,48.5
165,85.7,155.2,26.3,53.2,48.7
179.2,82.1,178.4,26.7,54.7,46.6
173.3,73.9,176.2,29.8,53.8,45.5
164.7,62.3,166.1,27.9,59.4,50.5
175.1,52.3,172,24.8,57.8,45.4
171,68.3,170,24.2,56,48.2
179.7,87.8,177.2,27,59,46.6
163,78.2,160.1,23.4,56.2,49.4
166.7,56.3,170.9,29.7,54.3,49
166.1,77.6,167.9,28.4,59,51.1
155.4,80.8,151.9,25.1,57.1,46.5
173,61.7,177.5,22.6,53.9,47.2
172.6,77.3,174.1,28.7,55.6,45.1
170.1,75.9,174.2,25.8,54.2,46.7
167.7,57.9,170.8,28.5,53.2,49.1
