track_name,artist(s)_name,released_year,released_month,released_day,in_spotify_charts,streams,bpm
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2023,7,14,147,141381703,125
LALA,Myke Towers,2023,3,23,48,133716286,92
vampire,Olivia Rodrigo,2023,6,30,113,140003974,138
Cruel Summer,Taylor Swift,2019,8,23,100,800840817,170
WHERE SHE GOES,Bad Bunny,2023,5,18,50,303236322,144
Sprinter,"Dave, Central Cee",2023,6,1,91,183706234,141
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2023,3,16,50,725980112,148
Columbia,Quevedo,2023,7,7,43,58149378,100
fukumean,Gunna,2023,5,15,83,95217315,130
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2023,3,17,44,553634067,170
un x100to,"Bad Bunny, Grupo Frontera",2023,4,17,40,505671438,83
Super Shy,NewJeans,2023,7,7,55,58255150,150
Flowers,Miley Cyrus,2023,1,12,115,1316855716,118
Daylight,David Kushner,2023,4,14,98,387570742,130
As It Was,Harry Styles,2022,3,31,130,2513188493,174
Kill Bill,SZA,2022,12,8,77,1163093654,89
Cupid - Twin Ver.,Fifty Fifty,2023,2,24,77,496795686,120
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,2023,7,13,104,30546883,78
Classy 101,"Feid, Young Miko",2023,3,31,40,335222234,100
Like Crazy,Jimin,2023,3,24,68,363369738,120
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",2023,6,22,26,86444842,140
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,2023,7,7,38,52135248,123
I Wanna Be Yours,Arctic Monkeys,2013,1,1,110,1297026226,135
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2023,5,31,40,200647221,133
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",2023,6,2,87,115364561,99
SABOR FRESA,Fuerza Regida,2023,6,22,26,78300654,130
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2022,3,25,77,899183384,107
MOJABI GHOST,"Tainy, Bad Bunny",2023,6,29,40,61245289,122
Last Night,Morgan Wallen,2023,1,31,19,429829812,204
Dance The Night (From Barbie The Album),Dua Lipa,2023,5,25,101,127408954,110
Rush,Troye Sivan,2023,7,13,78,22581161,126
TULUM,"Peso Pluma, Grupo Frontera",2023,6,28,34,52294266,168
Creepin',"The Weeknd, 21 Savage, Metro Boomin",2022,12,2,88,843957510,98
Anti-Hero,Taylor Swift,2022,10,21,56,999748277,97
TQG,"Karol G, Shakira",2023,2,23,49,618990393,180
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",2023,6,1,31,123122413,120
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2023,4,7,34,188933502,150
Blank Space,Taylor Swift,2014,1,1,53,1355959075,96
Style,Taylor Swift,2014,1,1,42,786181836,95
TQM,Fuerza Regida,2023,5,19,28,176553476,125
