student_id,grade_level,study_hours_per_week,sleep_hours_per_night,extracurricular,part_time_job,screen_time_hours,attendance_rate,favorite_subject,test_score
S1086,11,6.7,8.1,No,Yes,5,82.4,English,83.4
S1120,10,2.4,7,No,Yes,4.9,99,Art/Elective,76.6
S1022,12,3,6.1,Yes,Yes,3,87.5,History,73.9
S1011,12,7.2,5.2,Yes,No,5.1,93.8,History,75.8
S1153,10,4.7,8.5,Yes,No,6.8,85.2,Art/Elective,83.7
S1002,12,6.5,5.9,Yes,No,4,80.5,English,78.9
S1121,11,3,7.9,Yes,No,5.1,93,Math,60.2
S1094,10,1.5,8.6,No,No,3.1,100,Science,84.3
S1066,10,5.7,7.8,Yes,No,3.7,89.2,Math,80.3
S1063,11,5.7,7,No,No,4.1,92.7,Math,81.2
S1108,9,8.2,4.6,Yes,No,4.3,87.3,Math,78.1
S1096,10,10.2,6.7,No,No,4.5,88.7,Science,81.9
S1138,11,2.9,7.5,No,Yes,2.9,83.4,Math,84.1
S1065,10,8.1,6,Yes,No,1.3,100,English,95.4
S1191,9,7.2,5.8,Yes,No,1.6,90.9,English,96.2
S1157,11,10.4,8.2,No,No,3.7,100,English,91.5
S1024,11,3.3,5.6,Yes,No,2.9,92.5,Art/Elective,80.4
S1099,12,7.1,8.8,Yes,No,0.7,94.4,Science,80.8
S1155,11,1.7,5.2,No,No,5,80.9,Art/Elective,69.3
S1046,10,8.6,6.9,Yes,No,4.8,94.9,Art/Elective,87.7
S1181,12,6.7,9,Yes,No,5.3,84.1,Math,74.7
S1139,9,4.7,8,Yes,Yes,3.2,74.5,History,69
S1143,10,7.5,7.3,Yes,No,5.5,97.5,Science,84
S1074,9,6.4,6.2,Yes,Yes,5.2,100,Math,83.9
S1189,9,8.5,7.6,Yes,No,5.2,89.7,Science,85
S1182,10,6.4,9.1,Yes,No,3.4,85.4,History,76.3
S1101,11,6.9,6.7,No,No,5.2,93,Math,90.1
S1058,9,4.6,7.9,Yes,No,5.9,87,Science,67.3
S1109,12,2.6,6.1,No,No,3.3,90.9,English,64.6
S1180,12,7.8,5.8,No,Yes,1.4,86.1,Math,80.4
S1057,10,5.3,7,No,No,6.3,97.7,Science,77.4
S1106,10,4.4,6.3,Yes,No,7,93,History,74.6
S1163,9,8.1,6.9,No,Yes,7.5,89.6,Math,75.7
S1084,9,6.3,6.4,Yes,No,2.7,83.3,Math,83
S1124,9,4.1,6.1,Yes,No,2.5,78.4,Math,74
S1085,9,5.1,5.8,Yes,No,5,82.8,Art/Elective,76.8
S1126,10,5,7,Yes,No,0.5,100,Art/Elective,91
S1186,10,4.2,7.2,No,Yes,5.9,95.4,Science,70.9
S1080,11,10.9,6.6,Yes,No,5.2,85.9,Math,86.3
S1116,11,5.8,8.4,No,No,2.3,95.3,Math,72
S1129,10,9.2,8,No,No,5.2,94.3,English,70.6
S1128,9,4.6,5.5,No,No,2.2,91.4,Art/Elective,75.2
S1060,11,9.6,7.4,No,No,6.5,82.7,Math,67.2
S1122,9,5.1,7.2,Yes,No,3.6,89.7,Art/Elective,81.8
S1027,9,2.9,5.8,No,No,4.4,94.1,Art/Elective,72.5
S1040,10,5.2,,Yes,No,4.6,93.3,Math,84.2
S1045,11,7,5.1,No,No,3.1,96.5,Art/Elective,93.7
S1194,9,6.1,9.2,Yes,No,4.8,91.2,Math,73.2
S1031,12,4.8,8.8,No,Yes,2.9,98.6,Science,83.4
S1156,9,1.5,7.3,Yes,No,8.1,85.4,Science,64.2
S1032,10,6.8,6.7,Yes,No,0.5,99.2,Science,81.6
S1013,11,4.9,6.6,No,No,6.9,100,Math,80.7
S1117,11,4,6.1,Yes,No,2.6,,Art/Elective,79
S1078,10,1.4,5.4,Yes,Yes,5.5,96.8,Science,88.5
S1131,12,5.1,6.1,Yes,No,4.6,79,Art/Elective,76.2
