Student ID,Gender,GPA,Favorite Music,Major,GPA in Major,Car,NonMajorStHrs,MajorStHrs,OffCampusWkHrs,OnCampusWkHrs,ParentsDegree
S001,Male,3.25,Rock,Business,3.26,No,2,6,18,0,Yes
S002,Female,3.08,Hip-Hop/Rap,Nursing,3.15,No,4,8,0,0,No
S003,Male,3.68,Country,Education,3.83,Yes,6,10,12,8,Yes
S004,Male,3.39,EDM/Electronic,Communications,3.57,Yes,0,9,0,0,No
S005,Female,3.53,R&B,Business,3.43,Yes,3,9,0,0,Yes
S006,Male,2.94,Alternative,Engineering,2.92,Yes,2,5,19,0,Yes
S007,Male,2.78,Country,Biology,2.57,Yes,3,4,0,0,Yes
S008,Male,2.98,Country,Business,2.89,Yes,4,5,0,0,Yes
S009,Female,2.96,Hip-Hop/Rap,Psychology,2.82,Yes,3,2,16,0,Yes
S010,Female,3.55,R&B,Kinesiology,3.35,Yes,4,3,0,8,Yes
S011,Female,3.44,Hip-Hop/Rap,Biology,3.58,Yes,2,3,21,0,No
S012,Male,3.03,R&B,Nursing,3.12,Yes,1,3,22,0,Yes
S013,Male,3.75,EDM/Electronic,Communications,3.99,Yes,7,10,0,14,No
S014,Male,3.79,Pop,Psychology,3.83,Yes,4,12,0,11,Yes
S015,Female,3.20,Country,Communications,3.40,No,2,4,25,10,Yes
S016,Female,2.75,Pop,Nursing,2.40,Yes,1,2,27,0,Yes
S017,Male,3.88,R&B,Education,4.00,Yes,9,12,0,0,Yes
S018,Female,3.12,Pop,Psychology,3.18,Yes,3,5,0,13,No
S019,Male,3.20,Classical,Nursing,3.28,No,4,6,18,0,No
S020,Male,3.01,Pop,Communications,3.14,Yes,6,5,0,0,No
S021,Male,2.85,Jazz,Nursing,2.64,No,3,7,0,11,Yes
S022,Female,2.60,Alternative,Business,2.35,No,1,3,13,0,Yes
S023,Male,3.42,Country,Psychology,3.32,Yes,3,3,8,11,No
S024,Male,2.89,Alternative,Biology,2.94,Yes,1,3,19,0,Yes
S025,Male,4.00,Alternative,Computer Science,4.00,Yes,7,13,0,0,Yes
S026,Female,2.76,Classical,Criminal Justice,2.53,No,3,3,0,12,Yes
S027,Female,2.62,Hip-Hop/Rap,Nursing,2.41,Yes,3,4,0,0,No
S028,Female,3.36,Country,Psychology,3.26,No,2,7,0,0,No
S029,Female,3.79,Pop,Business,3.75,Yes,3,5,0,0,No
S030,Male,3.18,Country,Education,2.98,Yes,8,6,0,0,No
S031,Male,3.46,Pop,Criminal Justice,3.22,Yes,4,2,0,0,Yes
S032,Male,2.38,Country,Biology,2.18,Yes,0,0,0,11,No
S033,Female,2.94,Country,Education,3.01,Yes,6,8,0,0,Yes
S034,Female,2.58,Rock,Psychology,2.40,Yes,1,1,21,0,No
S035,Female,2.42,Country,Kinesiology,2.41,No,3,2,0,0,Yes
S036,Female,3.20,Alternative,Engineering,3.31,No,3,7,0,0,No
